cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 1), (1, 2), (2, 2)}
number of topology types: 4
Epoch 0: train_loss=1.27, train_acc=0.66, val_acc=0.69, time=6.01
Epoch 1: train_loss=1.17, train_acc=0.69, val_acc=0.69, time=0.73
Epoch 2: train_loss=0.69, train_acc=0.69, val_acc=0.71, time=0.66
Epoch 3: train_loss=0.56, train_acc=0.71, val_acc=0.75, time=0.70
Epoch 4: train_loss=0.52, train_acc=0.73, val_acc=0.77, time=0.65
Epoch 5: train_loss=0.47, train_acc=0.73, val_acc=0.75, time=0.64
Epoch 6: train_loss=0.45, train_acc=0.72, val_acc=0.74, time=0.80
Epoch 7: train_loss=0.45, train_acc=0.73, val_acc=0.75, time=0.73
Epoch 8: train_loss=0.46, train_acc=0.74, val_acc=0.74, time=0.74
Epoch 9: train_loss=0.45, train_acc=0.74, val_acc=0.76, time=0.72
Epoch 10: train_loss=0.45, train_acc=0.73, val_acc=0.72, time=0.94
Epoch 11: train_loss=0.45, train_acc=0.75, val_acc=0.74, time=0.98
Epoch 12: train_loss=0.47, train_acc=0.74, val_acc=0.73, time=0.91
Epoch 13: train_loss=0.45, train_acc=0.75, val_acc=0.74, time=0.90
Epoch 14: train_loss=0.56, train_acc=0.73, val_acc=0.74, time=1.01
Epoch 15: train_loss=0.75, train_acc=0.71, val_acc=0.71, time=0.94
Epoch 16: train_loss=0.82, train_acc=0.73, val_acc=0.73, time=0.83
Epoch 17: train_loss=0.46, train_acc=0.73, val_acc=0.69, time=0.79
Epoch 18: train_loss=0.46, train_acc=0.74, val_acc=0.72, time=1.01
Epoch 19: train_loss=0.44, train_acc=0.75, val_acc=0.69, time=0.96
Epoch 20: train_loss=0.43, train_acc=0.73, val_acc=0.71, time=0.82
Epoch 21: train_loss=0.43, train_acc=0.74, val_acc=0.74, time=0.86
Epoch 22: train_loss=0.43, train_acc=0.75, val_acc=0.74, time=0.89
Epoch 23: train_loss=0.43, train_acc=0.74, val_acc=0.71, time=0.89
Epoch 24: train_loss=0.43, train_acc=0.75, val_acc=0.74, time=0.89
Epoch 25: train_loss=0.42, train_acc=0.76, val_acc=0.71, time=0.86
Epoch 26: train_loss=0.42, train_acc=0.75, val_acc=0.71, time=0.93
Epoch 27: train_loss=0.42, train_acc=0.75, val_acc=0.71, time=0.87
Epoch 28: train_loss=0.42, train_acc=0.75, val_acc=0.71, time=0.91
Epoch 29: train_loss=0.42, train_acc=0.75, val_acc=0.71, time=0.86
Epoch 30: train_loss=0.42, train_acc=0.76, val_acc=0.72, time=0.87
Epoch 31: train_loss=0.41, train_acc=0.76, val_acc=0.72, time=0.82
Epoch 32: train_loss=0.42, train_acc=0.75, val_acc=0.71, time=0.86
Epoch 33: train_loss=0.41, train_acc=0.75, val_acc=0.71, time=0.85
Epoch 34: train_loss=0.42, train_acc=0.76, val_acc=0.71, time=0.90
Epoch 35: train_loss=0.41, train_acc=0.76, val_acc=0.73, time=0.82
Epoch 36: train_loss=0.41, train_acc=0.75, val_acc=0.71, time=0.90
Epoch 37: train_loss=0.41, train_acc=0.75, val_acc=0.73, time=0.86
Epoch 38: train_loss=0.41, train_acc=0.75, val_acc=0.71, time=0.82
Epoch 39: train_loss=0.41, train_acc=0.76, val_acc=0.71, time=0.78
Epoch 40: train_loss=0.42, train_acc=0.76, val_acc=0.70, time=0.71
Epoch 41: train_loss=0.41, train_acc=0.75, val_acc=0.73, time=0.71
Epoch 42: train_loss=0.41, train_acc=0.76, val_acc=0.70, time=0.83
Epoch 43: train_loss=0.41, train_acc=0.76, val_acc=0.71, time=0.87
Epoch 44: train_loss=0.41, train_acc=0.76, val_acc=0.73, time=0.77
Epoch 45: train_loss=0.41, train_acc=0.76, val_acc=0.70, time=0.79
Epoch 46: train_loss=0.41, train_acc=0.76, val_acc=0.71, time=0.78
Epoch 47: train_loss=0.41, train_acc=0.76, val_acc=0.70, time=0.78
Epoch 48: train_loss=0.41, train_acc=0.76, val_acc=0.71, time=0.77
Epoch 49: train_loss=0.41, train_acc=0.76, val_acc=0.71, time=0.77
Epoch 50: train_loss=0.41, train_acc=0.75, val_acc=0.71, time=0.81
Epoch 51: train_loss=0.41, train_acc=0.76, val_acc=0.70, time=0.75
Epoch 52: train_loss=0.41, train_acc=0.76, val_acc=0.72, time=0.81
Epoch 53: train_loss=0.41, train_acc=0.76, val_acc=0.72, time=0.78
Epoch 54: train_loss=0.41, train_acc=0.76, val_acc=0.70, time=0.77
