cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 1), (1, 2), (2, 2)}
number of topology types: 4
Epoch 0: train_loss=2.39, train_acc=0.58, val_acc=0.68, time=2.54
Epoch 1: train_loss=1.96, train_acc=0.68, val_acc=0.70, time=0.79
Epoch 2: train_loss=1.17, train_acc=0.69, val_acc=0.70, time=0.71
Epoch 3: train_loss=1.29, train_acc=0.69, val_acc=0.71, time=0.73
Epoch 4: train_loss=0.81, train_acc=0.69, val_acc=0.72, time=0.71
Epoch 5: train_loss=0.88, train_acc=0.72, val_acc=0.70, time=0.76
Epoch 6: train_loss=0.56, train_acc=0.72, val_acc=0.73, time=0.65
Epoch 7: train_loss=0.56, train_acc=0.72, val_acc=0.73, time=0.63
Epoch 8: train_loss=0.56, train_acc=0.71, val_acc=0.72, time=0.66
Epoch 9: train_loss=0.71, train_acc=0.72, val_acc=0.72, time=0.67
Epoch 10: train_loss=0.74, train_acc=0.73, val_acc=0.75, time=0.68
Epoch 11: train_loss=0.55, train_acc=0.70, val_acc=0.74, time=0.67
Epoch 12: train_loss=0.48, train_acc=0.73, val_acc=0.75, time=0.63
Epoch 13: train_loss=1.57, train_acc=0.73, val_acc=0.69, time=0.67
Epoch 14: train_loss=0.59, train_acc=0.73, val_acc=0.69, time=0.64
Epoch 15: train_loss=0.63, train_acc=0.71, val_acc=0.71, time=0.94
Epoch 16: train_loss=0.45, train_acc=0.73, val_acc=0.74, time=1.03
Epoch 17: train_loss=0.44, train_acc=0.76, val_acc=0.75, time=1.00
Epoch 18: train_loss=0.45, train_acc=0.72, val_acc=0.74, time=1.14
Epoch 19: train_loss=0.45, train_acc=0.74, val_acc=0.75, time=1.11
Epoch 20: train_loss=0.45, train_acc=0.72, val_acc=0.73, time=1.01
Epoch 21: train_loss=0.43, train_acc=0.74, val_acc=0.74, time=1.07
Epoch 22: train_loss=0.44, train_acc=0.73, val_acc=0.75, time=0.97
Epoch 23: train_loss=0.44, train_acc=0.75, val_acc=0.74, time=1.15
Epoch 24: train_loss=0.54, train_acc=0.72, val_acc=0.72, time=1.14
Epoch 25: train_loss=0.50, train_acc=0.73, val_acc=0.72, time=1.08
Epoch 26: train_loss=0.46, train_acc=0.72, val_acc=0.75, time=0.95
Epoch 27: train_loss=0.71, train_acc=0.73, val_acc=0.72, time=0.97
Epoch 28: train_loss=0.63, train_acc=0.72, val_acc=0.71, time=0.93
Epoch 29: train_loss=0.77, train_acc=0.71, val_acc=0.68, time=1.04
Epoch 30: train_loss=0.47, train_acc=0.74, val_acc=0.71, time=1.12
Epoch 31: train_loss=0.49, train_acc=0.74, val_acc=0.73, time=1.11
Epoch 32: train_loss=0.46, train_acc=0.74, val_acc=0.73, time=1.14
Epoch 33: train_loss=0.44, train_acc=0.73, val_acc=0.74, time=1.08
Epoch 34: train_loss=0.43, train_acc=0.73, val_acc=0.75, time=1.15
Epoch 35: train_loss=0.44, train_acc=0.72, val_acc=0.73, time=1.04
Epoch 36: train_loss=0.43, train_acc=0.74, val_acc=0.73, time=1.04
Epoch 37: train_loss=0.42, train_acc=0.75, val_acc=0.73, time=1.04
Epoch 38: train_loss=0.43, train_acc=0.75, val_acc=0.72, time=1.03
Epoch 39: train_loss=0.44, train_acc=0.72, val_acc=0.72, time=1.09
Epoch 40: train_loss=0.42, train_acc=0.75, val_acc=0.73, time=1.15
Epoch 41: train_loss=0.42, train_acc=0.74, val_acc=0.73, time=1.19
Epoch 42: train_loss=0.42, train_acc=0.75, val_acc=0.72, time=1.14
Epoch 43: train_loss=0.43, train_acc=0.74, val_acc=0.73, time=1.04
Epoch 44: train_loss=0.43, train_acc=0.74, val_acc=0.73, time=1.03
Epoch 45: train_loss=0.42, train_acc=0.73, val_acc=0.73, time=0.98
Epoch 46: train_loss=0.42, train_acc=0.72, val_acc=0.73, time=0.95
Epoch 47: train_loss=0.42, train_acc=0.73, val_acc=0.73, time=0.97
Epoch 48: train_loss=0.42, train_acc=0.73, val_acc=0.73, time=1.00
Epoch 49: train_loss=0.42, train_acc=0.73, val_acc=0.70, time=1.03
Epoch 50: train_loss=0.42, train_acc=0.75, val_acc=0.72, time=1.01
Epoch 51: train_loss=0.42, train_acc=0.74, val_acc=0.72, time=0.96
Epoch 52: train_loss=0.42, train_acc=0.74, val_acc=0.71, time=0.94
Epoch 53: train_loss=0.42, train_acc=0.75, val_acc=0.71, time=0.92
Epoch 54: train_loss=0.42, train_acc=0.74, val_acc=0.73, time=0.99
Epoch 55: train_loss=0.41, train_acc=0.74, val_acc=0.72, time=1.02
Epoch 56: train_loss=0.42, train_acc=0.73, val_acc=0.73, time=1.06
Epoch 57: train_loss=0.43, train_acc=0.74, val_acc=0.71, time=1.01
Epoch 58: train_loss=0.41, train_acc=0.74, val_acc=0.73, time=1.03
Epoch 59: train_loss=0.42, train_acc=0.75, val_acc=0.71, time=1.04
Epoch 60: train_loss=0.41, train_acc=0.75, val_acc=0.72, time=1.00
Epoch 61: train_loss=0.40, train_acc=0.75, val_acc=0.72, time=0.97
Epoch 62: train_loss=0.41, train_acc=0.74, val_acc=0.73, time=1.01
Epoch 63: train_loss=0.41, train_acc=0.75, val_acc=0.71, time=0.95
Epoch 64: train_loss=0.45, train_acc=0.76, val_acc=0.72, time=1.02
Epoch 65: train_loss=0.41, train_acc=0.74, val_acc=0.73, time=1.00
Epoch 66: train_loss=0.62, train_acc=0.75, val_acc=0.74, time=0.99
Epoch 67: train_loss=0.49, train_acc=0.74, val_acc=0.71, time=1.13
Epoch 68: train_loss=0.52, train_acc=0.73, val_acc=0.73, time=1.06
Epoch 69: train_loss=0.43, train_acc=0.75, val_acc=0.72, time=1.08
Epoch 70: train_loss=0.43, train_acc=0.74, val_acc=0.74, time=1.00
Epoch 71: train_loss=0.42, train_acc=0.74, val_acc=0.73, time=1.04
Epoch 72: train_loss=0.42, train_acc=0.74, val_acc=0.72, time=1.09
Epoch 73: train_loss=0.42, train_acc=0.75, val_acc=0.72, time=1.05
Epoch 74: train_loss=0.42, train_acc=0.74, val_acc=0.71, time=1.05
Epoch 75: train_loss=0.42, train_acc=0.74, val_acc=0.74, time=1.02
Epoch 76: train_loss=0.45, train_acc=0.75, val_acc=0.73, time=1.24
Epoch 77: train_loss=0.41, train_acc=0.74, val_acc=0.73, time=1.12
Epoch 78: train_loss=0.57, train_acc=0.74, val_acc=0.74, time=1.10
Epoch 79: train_loss=0.41, train_acc=0.75, val_acc=0.72, time=0.97
