cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=2.50, train_acc=0.46, val_acc=0.36, time=4.24
Epoch 1: train_loss=1.22, train_acc=0.46, val_acc=0.51, time=0.43
Epoch 2: train_loss=1.07, train_acc=0.47, val_acc=0.53, time=0.46
Epoch 3: train_loss=1.03, train_acc=0.51, val_acc=0.48, time=0.44
Epoch 4: train_loss=1.02, train_acc=0.51, val_acc=0.49, time=0.43
Epoch 5: train_loss=0.99, train_acc=0.51, val_acc=0.49, time=0.48
Epoch 6: train_loss=1.05, train_acc=0.50, val_acc=0.50, time=0.51
Epoch 7: train_loss=0.97, train_acc=0.52, val_acc=0.51, time=0.41
Epoch 8: train_loss=0.97, train_acc=0.51, val_acc=0.51, time=0.47
Epoch 9: train_loss=0.95, train_acc=0.52, val_acc=0.45, time=0.51
Epoch 10: train_loss=0.98, train_acc=0.52, val_acc=0.47, time=0.45
Epoch 11: train_loss=1.00, train_acc=0.51, val_acc=0.49, time=0.47
Epoch 12: train_loss=0.97, train_acc=0.51, val_acc=0.53, time=0.42
Epoch 13: train_loss=0.98, train_acc=0.52, val_acc=0.45, time=0.49
Epoch 14: train_loss=0.99, train_acc=0.53, val_acc=0.53, time=0.45
Epoch 15: train_loss=1.00, train_acc=0.51, val_acc=0.49, time=0.42
Epoch 16: train_loss=1.02, train_acc=0.51, val_acc=0.43, time=0.44
Epoch 17: train_loss=1.03, train_acc=0.53, val_acc=0.51, time=0.46
Epoch 18: train_loss=1.10, train_acc=0.51, val_acc=0.51, time=0.44
Epoch 19: train_loss=0.97, train_acc=0.53, val_acc=0.50, time=0.58
Epoch 20: train_loss=0.96, train_acc=0.53, val_acc=0.52, time=0.59
Epoch 21: train_loss=0.93, train_acc=0.52, val_acc=0.54, time=0.57
Epoch 22: train_loss=0.95, train_acc=0.52, val_acc=0.49, time=0.57
Epoch 23: train_loss=0.99, train_acc=0.52, val_acc=0.51, time=0.50
Epoch 24: train_loss=1.01, train_acc=0.51, val_acc=0.50, time=0.51
Epoch 25: train_loss=1.01, train_acc=0.52, val_acc=0.51, time=0.61
Epoch 26: train_loss=0.97, train_acc=0.52, val_acc=0.51, time=0.59
Epoch 27: train_loss=0.97, train_acc=0.52, val_acc=0.47, time=0.58
Epoch 28: train_loss=0.96, train_acc=0.53, val_acc=0.49, time=0.51
Epoch 29: train_loss=0.94, train_acc=0.53, val_acc=0.49, time=0.52
Epoch 30: train_loss=0.95, train_acc=0.53, val_acc=0.50, time=0.54
Epoch 31: train_loss=0.92, train_acc=0.53, val_acc=0.49, time=0.50
Epoch 32: train_loss=0.93, train_acc=0.53, val_acc=0.55, time=0.47
Epoch 33: train_loss=0.92, train_acc=0.53, val_acc=0.54, time=0.49
Epoch 34: train_loss=0.92, train_acc=0.54, val_acc=0.54, time=0.59
Epoch 35: train_loss=0.92, train_acc=0.54, val_acc=0.49, time=0.54
Epoch 36: train_loss=0.91, train_acc=0.54, val_acc=0.52, time=0.54
Epoch 37: train_loss=0.91, train_acc=0.54, val_acc=0.55, time=0.60
Epoch 38: train_loss=0.91, train_acc=0.54, val_acc=0.55, time=0.54
Epoch 39: train_loss=0.92, train_acc=0.54, val_acc=0.53, time=0.54
Epoch 40: train_loss=0.91, train_acc=0.54, val_acc=0.48, time=0.53
Epoch 41: train_loss=0.91, train_acc=0.54, val_acc=0.51, time=0.51
Epoch 42: train_loss=0.97, train_acc=0.53, val_acc=0.51, time=0.55
Epoch 43: train_loss=0.97, train_acc=0.53, val_acc=0.51, time=0.55
Epoch 44: train_loss=0.94, train_acc=0.53, val_acc=0.52, time=0.61
Epoch 45: train_loss=0.91, train_acc=0.55, val_acc=0.51, time=0.71
Epoch 46: train_loss=0.91, train_acc=0.54, val_acc=0.53, time=0.71
Epoch 47: train_loss=0.92, train_acc=0.54, val_acc=0.51, time=0.59
Epoch 48: train_loss=0.91, train_acc=0.55, val_acc=0.54, time=0.74
Epoch 49: train_loss=0.92, train_acc=0.54, val_acc=0.52, time=0.66
Epoch 50: train_loss=0.89, train_acc=0.55, val_acc=0.53, time=0.77
Epoch 51: train_loss=0.89, train_acc=0.55, val_acc=0.55, time=0.63
Epoch 52: train_loss=0.89, train_acc=0.55, val_acc=0.54, time=0.82
Epoch 53: train_loss=0.89, train_acc=0.55, val_acc=0.55, time=0.66
Epoch 54: train_loss=0.89, train_acc=0.55, val_acc=0.52, time=0.56
Epoch 55: train_loss=0.88, train_acc=0.55, val_acc=0.53, time=0.57
Epoch 56: train_loss=0.88, train_acc=0.56, val_acc=0.53, time=0.61
Epoch 57: train_loss=0.89, train_acc=0.56, val_acc=0.53, time=0.66
Epoch 58: train_loss=0.89, train_acc=0.55, val_acc=0.54, time=0.74
Epoch 59: train_loss=0.89, train_acc=0.55, val_acc=0.54, time=0.63
Epoch 60: train_loss=0.89, train_acc=0.55, val_acc=0.55, time=0.56
Epoch 61: train_loss=0.89, train_acc=0.55, val_acc=0.53, time=0.44
