cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=2.67, train_acc=0.43, val_acc=0.50, time=5.48
Epoch 1: train_loss=2.45, train_acc=0.43, val_acc=0.49, time=1.67
Epoch 2: train_loss=2.21, train_acc=0.45, val_acc=0.51, time=1.58
Epoch 3: train_loss=2.41, train_acc=0.45, val_acc=0.51, time=1.74
Epoch 4: train_loss=1.82, train_acc=0.45, val_acc=0.46, time=1.68
Epoch 5: train_loss=1.84, train_acc=0.47, val_acc=0.51, time=1.70
Epoch 6: train_loss=1.79, train_acc=0.47, val_acc=0.47, time=1.92
Epoch 7: train_loss=2.04, train_acc=0.47, val_acc=0.52, time=1.52
Epoch 8: train_loss=1.87, train_acc=0.46, val_acc=0.45, time=1.88
Epoch 9: train_loss=1.70, train_acc=0.47, val_acc=0.51, time=1.57
Epoch 10: train_loss=1.55, train_acc=0.48, val_acc=0.49, time=1.48
Epoch 11: train_loss=1.58, train_acc=0.48, val_acc=0.50, time=1.56
Epoch 12: train_loss=1.82, train_acc=0.47, val_acc=0.49, time=1.71
Epoch 13: train_loss=1.35, train_acc=0.50, val_acc=0.40, time=1.90
Epoch 14: train_loss=1.39, train_acc=0.48, val_acc=0.45, time=1.34
Epoch 15: train_loss=1.45, train_acc=0.47, val_acc=0.48, time=1.32
Epoch 16: train_loss=1.50, train_acc=0.49, val_acc=0.46, time=1.35
Epoch 17: train_loss=1.49, train_acc=0.47, val_acc=0.45, time=0.79
Epoch 18: train_loss=1.32, train_acc=0.50, val_acc=0.51, time=1.12
Epoch 19: train_loss=1.52, train_acc=0.50, val_acc=0.44, time=0.90
Epoch 20: train_loss=1.29, train_acc=0.50, val_acc=0.47, time=1.32
Epoch 21: train_loss=1.53, train_acc=0.50, val_acc=0.46, time=1.45
Epoch 22: train_loss=1.51, train_acc=0.47, val_acc=0.46, time=1.60
Epoch 23: train_loss=1.27, train_acc=0.47, val_acc=0.44, time=1.38
Epoch 24: train_loss=1.32, train_acc=0.50, val_acc=0.46, time=1.32
Epoch 25: train_loss=1.32, train_acc=0.50, val_acc=0.54, time=1.34
Epoch 26: train_loss=1.48, train_acc=0.47, val_acc=0.55, time=2.11
Epoch 27: train_loss=1.27, train_acc=0.51, val_acc=0.41, time=2.21
Epoch 28: train_loss=1.29, train_acc=0.50, val_acc=0.44, time=1.74
Epoch 29: train_loss=1.27, train_acc=0.52, val_acc=0.47, time=1.89
Epoch 30: train_loss=1.32, train_acc=0.48, val_acc=0.48, time=1.40
Epoch 31: train_loss=1.23, train_acc=0.49, val_acc=0.47, time=1.58
Epoch 32: train_loss=1.28, train_acc=0.49, val_acc=0.46, time=1.29
Epoch 33: train_loss=1.17, train_acc=0.50, val_acc=0.48, time=1.63
Epoch 34: train_loss=1.22, train_acc=0.51, val_acc=0.39, time=1.81
Epoch 35: train_loss=1.14, train_acc=0.51, val_acc=0.48, time=1.73
Epoch 36: train_loss=1.31, train_acc=0.51, val_acc=0.45, time=1.77
Epoch 37: train_loss=1.17, train_acc=0.50, val_acc=0.49, time=1.72
Epoch 38: train_loss=1.16, train_acc=0.51, val_acc=0.49, time=1.90
Epoch 39: train_loss=1.25, train_acc=0.51, val_acc=0.47, time=2.39
Epoch 40: train_loss=1.21, train_acc=0.51, val_acc=0.47, time=1.83
Epoch 41: train_loss=1.15, train_acc=0.51, val_acc=0.47, time=1.92
Epoch 42: train_loss=1.11, train_acc=0.52, val_acc=0.47, time=1.58
Epoch 43: train_loss=1.26, train_acc=0.50, val_acc=0.45, time=1.52
Epoch 44: train_loss=1.06, train_acc=0.53, val_acc=0.47, time=2.27
Epoch 45: train_loss=1.16, train_acc=0.54, val_acc=0.46, time=1.93
Epoch 46: train_loss=1.24, train_acc=0.52, val_acc=0.49, time=1.76
Epoch 47: train_loss=1.08, train_acc=0.53, val_acc=0.50, time=2.15
Epoch 48: train_loss=1.07, train_acc=0.52, val_acc=0.48, time=2.43
Epoch 49: train_loss=1.03, train_acc=0.51, val_acc=0.47, time=2.50
Epoch 50: train_loss=1.02, train_acc=0.54, val_acc=0.50, time=1.94
Epoch 51: train_loss=1.05, train_acc=0.53, val_acc=0.48, time=2.33
Epoch 52: train_loss=0.97, train_acc=0.55, val_acc=0.48, time=2.22
Epoch 53: train_loss=1.05, train_acc=0.54, val_acc=0.49, time=2.00
Epoch 54: train_loss=1.04, train_acc=0.54, val_acc=0.52, time=2.01
Epoch 55: train_loss=1.01, train_acc=0.54, val_acc=0.49, time=1.81
