cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 1), (1, 2), (2, 2)}
number of topology types: 4
Epoch 0: train_loss=2.47, train_acc=0.42, val_acc=0.39, time=7.94
Epoch 1: train_loss=1.61, train_acc=0.46, val_acc=0.47, time=3.16
Epoch 2: train_loss=1.65, train_acc=0.46, val_acc=0.51, time=3.71
Epoch 3: train_loss=1.43, train_acc=0.50, val_acc=0.51, time=3.54
Epoch 4: train_loss=1.27, train_acc=0.50, val_acc=0.40, time=3.44
Epoch 5: train_loss=1.18, train_acc=0.50, val_acc=0.49, time=4.50
Epoch 6: train_loss=1.44, train_acc=0.47, val_acc=0.43, time=4.21
Epoch 7: train_loss=1.41, train_acc=0.48, val_acc=0.43, time=3.86
Epoch 8: train_loss=1.21, train_acc=0.50, val_acc=0.47, time=4.97
Epoch 9: train_loss=2.21, train_acc=0.50, val_acc=0.43, time=3.95
Epoch 10: train_loss=1.10, train_acc=0.51, val_acc=0.46, time=2.85
Epoch 11: train_loss=1.19, train_acc=0.50, val_acc=0.46, time=3.00
Epoch 12: train_loss=1.12, train_acc=0.51, val_acc=0.47, time=2.44
Epoch 13: train_loss=1.16, train_acc=0.53, val_acc=0.50, time=1.71
Epoch 14: train_loss=1.05, train_acc=0.53, val_acc=0.47, time=2.31
Epoch 15: train_loss=1.09, train_acc=0.52, val_acc=0.48, time=2.19
Epoch 16: train_loss=1.03, train_acc=0.52, val_acc=0.47, time=2.11
Epoch 17: train_loss=1.02, train_acc=0.52, val_acc=0.49, time=2.10
Epoch 18: train_loss=1.15, train_acc=0.51, val_acc=0.48, time=2.01
Epoch 19: train_loss=0.93, train_acc=0.54, val_acc=0.51, time=1.68
Epoch 20: train_loss=0.92, train_acc=0.53, val_acc=0.44, time=1.90
Epoch 21: train_loss=0.94, train_acc=0.54, val_acc=0.48, time=2.14
Epoch 22: train_loss=0.93, train_acc=0.54, val_acc=0.47, time=2.25
Epoch 23: train_loss=1.74, train_acc=0.52, val_acc=0.46, time=1.83
Epoch 24: train_loss=1.09, train_acc=0.52, val_acc=0.43, time=1.67
Epoch 25: train_loss=1.19, train_acc=0.53, val_acc=0.41, time=1.70
Epoch 26: train_loss=1.11, train_acc=0.53, val_acc=0.49, time=1.53
Epoch 27: train_loss=1.02, train_acc=0.52, val_acc=0.47, time=1.91
Epoch 28: train_loss=1.20, train_acc=0.54, val_acc=0.49, time=1.29
Epoch 29: train_loss=1.04, train_acc=0.51, val_acc=0.49, time=1.49
Epoch 30: train_loss=1.02, train_acc=0.54, val_acc=0.40, time=1.56
Epoch 31: train_loss=1.02, train_acc=0.55, val_acc=0.46, time=2.58
Epoch 32: train_loss=1.02, train_acc=0.54, val_acc=0.50, time=1.53
Epoch 33: train_loss=0.92, train_acc=0.56, val_acc=0.49, time=1.83
Epoch 34: train_loss=0.89, train_acc=0.54, val_acc=0.46, time=1.60
Epoch 35: train_loss=0.88, train_acc=0.55, val_acc=0.45, time=1.38
Epoch 36: train_loss=0.91, train_acc=0.55, val_acc=0.42, time=1.26
Epoch 37: train_loss=1.07, train_acc=0.53, val_acc=0.49, time=1.26
Epoch 38: train_loss=0.98, train_acc=0.56, val_acc=0.45, time=1.24
Epoch 39: train_loss=0.87, train_acc=0.57, val_acc=0.36, time=1.20
Epoch 40: train_loss=0.88, train_acc=0.56, val_acc=0.51, time=1.38
Epoch 41: train_loss=1.18, train_acc=0.55, val_acc=0.49, time=1.24
Epoch 42: train_loss=0.95, train_acc=0.56, val_acc=0.44, time=1.34
Epoch 43: train_loss=0.85, train_acc=0.56, val_acc=0.49, time=1.66
Epoch 44: train_loss=0.85, train_acc=0.56, val_acc=0.50, time=1.38
Epoch 45: train_loss=0.92, train_acc=0.58, val_acc=0.46, time=1.29
Epoch 46: train_loss=0.85, train_acc=0.55, val_acc=0.52, time=1.35
Epoch 47: train_loss=0.88, train_acc=0.57, val_acc=0.51, time=1.36
Epoch 48: train_loss=0.87, train_acc=0.56, val_acc=0.50, time=1.63
Epoch 49: train_loss=0.85, train_acc=0.58, val_acc=0.55, time=1.79
Epoch 50: train_loss=0.85, train_acc=0.58, val_acc=0.49, time=1.88
Epoch 51: train_loss=0.85, train_acc=0.59, val_acc=0.53, time=1.91
Epoch 52: train_loss=0.81, train_acc=0.59, val_acc=0.52, time=2.04
