cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 1), (1, 2), (2, 2)}
number of topology types: 4
Epoch 0: train_loss=2.15, train_acc=0.36, val_acc=0.40, time=5.29
Epoch 1: train_loss=1.74, train_acc=0.46, val_acc=0.47, time=1.87
Epoch 2: train_loss=1.40, train_acc=0.47, val_acc=0.48, time=1.83
Epoch 3: train_loss=1.29, train_acc=0.49, val_acc=0.49, time=1.78
Epoch 4: train_loss=1.28, train_acc=0.50, val_acc=0.47, time=1.94
Epoch 5: train_loss=1.18, train_acc=0.48, val_acc=0.49, time=2.00
Epoch 6: train_loss=1.19, train_acc=0.50, val_acc=0.49, time=2.10
Epoch 7: train_loss=1.21, train_acc=0.49, val_acc=0.49, time=1.35
Epoch 8: train_loss=1.16, train_acc=0.50, val_acc=0.49, time=1.00
Epoch 9: train_loss=1.14, train_acc=0.48, val_acc=0.47, time=1.02
Epoch 10: train_loss=1.17, train_acc=0.50, val_acc=0.47, time=0.98
Epoch 11: train_loss=1.03, train_acc=0.51, val_acc=0.49, time=1.11
Epoch 12: train_loss=1.05, train_acc=0.50, val_acc=0.49, time=0.93
Epoch 13: train_loss=1.02, train_acc=0.50, val_acc=0.51, time=1.20
Epoch 14: train_loss=1.09, train_acc=0.48, val_acc=0.50, time=0.98
Epoch 15: train_loss=1.07, train_acc=0.50, val_acc=0.51, time=1.80
Epoch 16: train_loss=1.04, train_acc=0.50, val_acc=0.48, time=1.99
Epoch 17: train_loss=1.27, train_acc=0.49, val_acc=0.51, time=1.79
Epoch 18: train_loss=1.08, train_acc=0.50, val_acc=0.50, time=1.92
Epoch 19: train_loss=1.06, train_acc=0.50, val_acc=0.51, time=1.83
Epoch 20: train_loss=1.10, train_acc=0.51, val_acc=0.51, time=1.88
Epoch 21: train_loss=1.05, train_acc=0.51, val_acc=0.49, time=1.83
Epoch 22: train_loss=1.01, train_acc=0.51, val_acc=0.50, time=1.90
Epoch 23: train_loss=1.05, train_acc=0.50, val_acc=0.47, time=1.51
Epoch 24: train_loss=1.06, train_acc=0.51, val_acc=0.52, time=1.26
Epoch 25: train_loss=1.03, train_acc=0.52, val_acc=0.50, time=1.10
Epoch 26: train_loss=1.00, train_acc=0.50, val_acc=0.51, time=0.99
Epoch 27: train_loss=0.99, train_acc=0.52, val_acc=0.51, time=0.96
Epoch 28: train_loss=1.00, train_acc=0.51, val_acc=0.49, time=1.01
Epoch 29: train_loss=0.95, train_acc=0.51, val_acc=0.49, time=0.96
Epoch 30: train_loss=1.01, train_acc=0.52, val_acc=0.49, time=0.98
Epoch 31: train_loss=0.97, train_acc=0.52, val_acc=0.53, time=1.90
Epoch 32: train_loss=0.95, train_acc=0.53, val_acc=0.49, time=1.87
Epoch 33: train_loss=1.05, train_acc=0.52, val_acc=0.46, time=1.79
Epoch 34: train_loss=0.96, train_acc=0.52, val_acc=0.53, time=2.08
Epoch 35: train_loss=0.96, train_acc=0.53, val_acc=0.49, time=2.06
Epoch 36: train_loss=1.06, train_acc=0.52, val_acc=0.49, time=1.94
Epoch 37: train_loss=0.98, train_acc=0.53, val_acc=0.52, time=1.78
Epoch 38: train_loss=1.01, train_acc=0.52, val_acc=0.45, time=1.66
Epoch 39: train_loss=1.09, train_acc=0.52, val_acc=0.49, time=1.30
Epoch 40: train_loss=1.05, train_acc=0.52, val_acc=0.51, time=0.84
Epoch 41: train_loss=0.96, train_acc=0.52, val_acc=0.50, time=0.94
Epoch 42: train_loss=0.97, train_acc=0.51, val_acc=0.51, time=0.95
Epoch 43: train_loss=0.95, train_acc=0.53, val_acc=0.51, time=1.01
Epoch 44: train_loss=0.94, train_acc=0.53, val_acc=0.48, time=1.03
Epoch 45: train_loss=0.98, train_acc=0.51, val_acc=0.49, time=0.79
Epoch 46: train_loss=0.96, train_acc=0.52, val_acc=0.51, time=0.83
Epoch 47: train_loss=0.96, train_acc=0.52, val_acc=0.51, time=1.43
Epoch 48: train_loss=0.95, train_acc=0.53, val_acc=0.49, time=1.96
Epoch 49: train_loss=1.02, train_acc=0.52, val_acc=0.51, time=1.59
Epoch 50: train_loss=0.95, train_acc=0.53, val_acc=0.50, time=1.93
Epoch 51: train_loss=0.94, train_acc=0.53, val_acc=0.51, time=1.85
Epoch 52: train_loss=0.94, train_acc=0.53, val_acc=0.49, time=1.93
Epoch 53: train_loss=0.92, train_acc=0.53, val_acc=0.50, time=1.76
Epoch 54: train_loss=0.91, train_acc=0.54, val_acc=0.51, time=1.90
Epoch 55: train_loss=0.93, train_acc=0.53, val_acc=0.51, time=1.86
Epoch 56: train_loss=0.93, train_acc=0.53, val_acc=0.50, time=1.06
Epoch 57: train_loss=0.93, train_acc=0.52, val_acc=0.52, time=0.95
Epoch 58: train_loss=0.92, train_acc=0.53, val_acc=0.51, time=1.19
Epoch 59: train_loss=0.94, train_acc=0.54, val_acc=0.49, time=1.11
Epoch 60: train_loss=0.92, train_acc=0.54, val_acc=0.49, time=1.23
Epoch 61: train_loss=0.91, train_acc=0.53, val_acc=0.50, time=1.68
Epoch 62: train_loss=0.92, train_acc=0.53, val_acc=0.50, time=1.76
Epoch 63: train_loss=0.93, train_acc=0.54, val_acc=0.51, time=1.67
Epoch 64: train_loss=0.92, train_acc=0.53, val_acc=0.50, time=1.45
Epoch 65: train_loss=0.92, train_acc=0.53, val_acc=0.50, time=1.70
Epoch 66: train_loss=0.92, train_acc=0.54, val_acc=0.51, time=1.60
Epoch 67: train_loss=0.92, train_acc=0.53, val_acc=0.51, time=1.73
