cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=1.33, train_acc=0.67, val_acc=0.68, time=5.89
Epoch 1: train_loss=0.75, train_acc=0.75, val_acc=0.68, time=0.30
Epoch 2: train_loss=0.43, train_acc=0.77, val_acc=0.68, time=0.41
Epoch 3: train_loss=0.47, train_acc=0.76, val_acc=0.74, time=0.32
Epoch 4: train_loss=0.57, train_acc=0.73, val_acc=0.68, time=0.44
Epoch 5: train_loss=0.57, train_acc=0.78, val_acc=0.95, time=0.34
Epoch 6: train_loss=0.49, train_acc=0.78, val_acc=0.89, time=0.41
Epoch 7: train_loss=0.52, train_acc=0.78, val_acc=0.89, time=0.41
Epoch 8: train_loss=0.43, train_acc=0.81, val_acc=0.74, time=0.44
Epoch 9: train_loss=0.58, train_acc=0.78, val_acc=1.00, time=0.41
Epoch 10: train_loss=0.52, train_acc=0.76, val_acc=1.00, time=0.36
Epoch 11: train_loss=0.33, train_acc=0.83, val_acc=0.95, time=0.32
Epoch 12: train_loss=0.33, train_acc=0.86, val_acc=0.84, time=0.53
Epoch 13: train_loss=0.34, train_acc=0.87, val_acc=1.00, time=0.33
Epoch 14: train_loss=0.30, train_acc=0.87, val_acc=0.95, time=0.39
Epoch 15: train_loss=0.31, train_acc=0.88, val_acc=0.89, time=0.23
Epoch 16: train_loss=0.31, train_acc=0.87, val_acc=0.95, time=0.34
Epoch 17: train_loss=0.29, train_acc=0.87, val_acc=0.95, time=0.26
Epoch 18: train_loss=0.39, train_acc=0.80, val_acc=0.95, time=0.39
Epoch 19: train_loss=0.35, train_acc=0.85, val_acc=0.74, time=0.37
Epoch 20: train_loss=0.50, train_acc=0.78, val_acc=0.79, time=0.35
Epoch 21: train_loss=0.32, train_acc=0.84, val_acc=1.00, time=0.29
Epoch 22: train_loss=0.29, train_acc=0.86, val_acc=0.84, time=0.39
Epoch 23: train_loss=0.29, train_acc=0.87, val_acc=0.89, time=0.41
Epoch 24: train_loss=0.38, train_acc=0.80, val_acc=0.95, time=0.32
Epoch 25: train_loss=0.36, train_acc=0.86, val_acc=1.00, time=0.26
Epoch 26: train_loss=0.33, train_acc=0.85, val_acc=0.84, time=0.35
Epoch 27: train_loss=0.29, train_acc=0.88, val_acc=1.00, time=0.42
Epoch 28: train_loss=0.33, train_acc=0.85, val_acc=1.00, time=0.41
Epoch 29: train_loss=0.26, train_acc=0.89, val_acc=0.84, time=0.38
Epoch 30: train_loss=0.29, train_acc=0.86, val_acc=0.89, time=0.40
Epoch 31: train_loss=0.28, train_acc=0.88, val_acc=1.00, time=0.34
Epoch 32: train_loss=0.32, train_acc=0.87, val_acc=0.95, time=0.52
Epoch 33: train_loss=0.27, train_acc=0.88, val_acc=0.89, time=0.47
Epoch 34: train_loss=0.28, train_acc=0.88, val_acc=1.00, time=0.30
Epoch 35: train_loss=0.29, train_acc=0.85, val_acc=1.00, time=0.30
Epoch 36: train_loss=0.37, train_acc=0.82, val_acc=1.00, time=0.23
Epoch 37: train_loss=0.28, train_acc=0.88, val_acc=0.95, time=0.31
Epoch 38: train_loss=0.26, train_acc=0.88, val_acc=1.00, time=0.27
Epoch 39: train_loss=0.27, train_acc=0.89, val_acc=0.84, time=0.31
Epoch 40: train_loss=0.34, train_acc=0.85, val_acc=0.84, time=0.34
Epoch 41: train_loss=0.35, train_acc=0.78, val_acc=0.84, time=0.41
Epoch 42: train_loss=0.26, train_acc=0.89, val_acc=0.79, time=0.31
Epoch 43: train_loss=0.33, train_acc=0.83, val_acc=0.84, time=0.43
Epoch 44: train_loss=0.34, train_acc=0.84, val_acc=0.79, time=0.35
Epoch 45: train_loss=0.24, train_acc=0.88, val_acc=1.00, time=0.31
Epoch 46: train_loss=0.26, train_acc=0.89, val_acc=0.95, time=0.37
Epoch 47: train_loss=0.27, train_acc=0.89, val_acc=0.95, time=0.33
Epoch 48: train_loss=0.28, train_acc=0.85, val_acc=1.00, time=0.31
Epoch 49: train_loss=0.29, train_acc=0.86, val_acc=0.89, time=0.40
Epoch 50: train_loss=0.26, train_acc=0.88, val_acc=0.95, time=0.33
Epoch 51: train_loss=0.25, train_acc=0.87, val_acc=0.95, time=0.28
Epoch 52: train_loss=0.24, train_acc=0.90, val_acc=1.00, time=0.21
Epoch 53: train_loss=0.23, train_acc=0.89, val_acc=1.00, time=0.28
Epoch 54: train_loss=0.24, train_acc=0.90, val_acc=0.95, time=0.22
Epoch 55: train_loss=0.23, train_acc=0.91, val_acc=0.84, time=0.21
Epoch 56: train_loss=0.26, train_acc=0.86, val_acc=1.00, time=0.22
Epoch 57: train_loss=0.26, train_acc=0.89, val_acc=0.89, time=0.26
