cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=2.45, train_acc=0.66, val_acc=0.68, time=10.73
Epoch 1: train_loss=1.61, train_acc=0.64, val_acc=0.68, time=0.15
Epoch 2: train_loss=1.39, train_acc=0.72, val_acc=0.68, time=0.09
Epoch 3: train_loss=1.69, train_acc=0.74, val_acc=0.68, time=0.10
Epoch 4: train_loss=1.06, train_acc=0.78, val_acc=0.68, time=0.10
Epoch 5: train_loss=1.87, train_acc=0.65, val_acc=0.68, time=0.27
Epoch 6: train_loss=1.27, train_acc=0.72, val_acc=0.68, time=0.15
Epoch 7: train_loss=1.70, train_acc=0.67, val_acc=0.68, time=0.13
Epoch 8: train_loss=1.56, train_acc=0.70, val_acc=0.68, time=0.14
Epoch 9: train_loss=1.10, train_acc=0.73, val_acc=0.68, time=0.17
Epoch 10: train_loss=1.30, train_acc=0.70, val_acc=0.68, time=0.13
Epoch 11: train_loss=1.26, train_acc=0.74, val_acc=0.68, time=0.23
Epoch 12: train_loss=1.68, train_acc=0.70, val_acc=0.68, time=0.15
Epoch 13: train_loss=1.09, train_acc=0.78, val_acc=0.68, time=0.19
Epoch 14: train_loss=1.45, train_acc=0.75, val_acc=0.68, time=0.13
Epoch 15: train_loss=1.27, train_acc=0.78, val_acc=0.74, time=0.22
Epoch 16: train_loss=1.32, train_acc=0.68, val_acc=0.74, time=0.21
Epoch 17: train_loss=1.28, train_acc=0.76, val_acc=0.79, time=0.12
Epoch 18: train_loss=1.23, train_acc=0.77, val_acc=0.74, time=0.25
Epoch 19: train_loss=1.14, train_acc=0.74, val_acc=0.74, time=0.16
Epoch 20: train_loss=1.01, train_acc=0.73, val_acc=0.74, time=0.14
Epoch 21: train_loss=0.95, train_acc=0.76, val_acc=0.74, time=0.15
Epoch 22: train_loss=1.03, train_acc=0.76, val_acc=0.79, time=0.18
Epoch 23: train_loss=1.05, train_acc=0.73, val_acc=0.74, time=0.15
Epoch 24: train_loss=0.94, train_acc=0.76, val_acc=0.84, time=0.20
Epoch 25: train_loss=0.95, train_acc=0.79, val_acc=0.84, time=0.26
Epoch 26: train_loss=1.13, train_acc=0.72, val_acc=0.74, time=0.15
Epoch 27: train_loss=1.07, train_acc=0.75, val_acc=0.74, time=0.18
Epoch 28: train_loss=1.38, train_acc=0.70, val_acc=0.89, time=0.22
Epoch 29: train_loss=1.28, train_acc=0.76, val_acc=0.89, time=0.19
Epoch 30: train_loss=1.25, train_acc=0.67, val_acc=0.89, time=0.10
Epoch 31: train_loss=0.78, train_acc=0.73, val_acc=0.89, time=0.13
Epoch 32: train_loss=0.84, train_acc=0.78, val_acc=0.84, time=0.13
Epoch 33: train_loss=0.87, train_acc=0.75, val_acc=0.79, time=0.18
Epoch 34: train_loss=1.00, train_acc=0.73, val_acc=0.84, time=0.17
Epoch 35: train_loss=0.82, train_acc=0.76, val_acc=0.95, time=0.16
Epoch 36: train_loss=0.83, train_acc=0.76, val_acc=0.95, time=0.20
Epoch 37: train_loss=0.92, train_acc=0.75, val_acc=0.89, time=0.21
Epoch 38: train_loss=0.98, train_acc=0.73, val_acc=0.79, time=0.15
Epoch 39: train_loss=1.03, train_acc=0.73, val_acc=0.79, time=0.15
Epoch 40: train_loss=0.93, train_acc=0.76, val_acc=0.95, time=0.22
Epoch 41: train_loss=0.75, train_acc=0.79, val_acc=0.89, time=0.29
Epoch 42: train_loss=0.74, train_acc=0.75, val_acc=0.95, time=0.20
Epoch 43: train_loss=0.80, train_acc=0.77, val_acc=0.89, time=0.07
Epoch 44: train_loss=0.98, train_acc=0.72, val_acc=0.84, time=0.06
Epoch 45: train_loss=0.81, train_acc=0.78, val_acc=0.84, time=0.25
Epoch 46: train_loss=0.72, train_acc=0.78, val_acc=0.84, time=0.08
Epoch 47: train_loss=0.78, train_acc=0.79, val_acc=0.84, time=0.12
Epoch 48: train_loss=0.85, train_acc=0.74, val_acc=0.89, time=0.22
Epoch 49: train_loss=0.68, train_acc=0.80, val_acc=0.89, time=0.10
Epoch 50: train_loss=0.64, train_acc=0.79, val_acc=0.89, time=0.08
Epoch 51: train_loss=0.92, train_acc=0.79, val_acc=0.89, time=0.20
Epoch 52: train_loss=0.72, train_acc=0.79, val_acc=0.89, time=0.17
Epoch 53: train_loss=0.96, train_acc=0.73, val_acc=0.89, time=0.05
Epoch 54: train_loss=0.81, train_acc=0.76, val_acc=0.89, time=0.09
Epoch 55: train_loss=0.75, train_acc=0.81, val_acc=0.89, time=0.06
Epoch 56: train_loss=0.81, train_acc=0.78, val_acc=0.95, time=0.07
Epoch 57: train_loss=0.83, train_acc=0.80, val_acc=0.89, time=0.06
Epoch 58: train_loss=0.63, train_acc=0.78, val_acc=0.89, time=0.07
Epoch 59: train_loss=0.61, train_acc=0.78, val_acc=0.89, time=0.20
Epoch 60: train_loss=0.75, train_acc=0.82, val_acc=0.89, time=0.21
Epoch 61: train_loss=0.77, train_acc=0.79, val_acc=0.89, time=0.11
Epoch 62: train_loss=0.67, train_acc=0.75, val_acc=0.95, time=0.27
Epoch 63: train_loss=0.78, train_acc=0.76, val_acc=0.95, time=0.10
Epoch 64: train_loss=0.76, train_acc=0.75, val_acc=0.89, time=0.10
Epoch 65: train_loss=0.74, train_acc=0.76, val_acc=0.89, time=0.19
Epoch 66: train_loss=0.67, train_acc=0.79, val_acc=0.89, time=0.15
Epoch 67: train_loss=0.63, train_acc=0.78, val_acc=0.89, time=0.17
Epoch 68: train_loss=0.78, train_acc=0.79, val_acc=0.89, time=0.16
Epoch 69: train_loss=0.72, train_acc=0.75, val_acc=0.95, time=0.14
Epoch 70: train_loss=0.67, train_acc=0.78, val_acc=0.95, time=0.19
Epoch 71: train_loss=0.52, train_acc=0.80, val_acc=0.95, time=0.18
Epoch 72: train_loss=0.57, train_acc=0.79, val_acc=0.95, time=0.17
Epoch 73: train_loss=0.52, train_acc=0.79, val_acc=0.89, time=0.17
Epoch 74: train_loss=0.80, train_acc=0.81, val_acc=0.89, time=0.18
Epoch 75: train_loss=0.82, train_acc=0.75, val_acc=0.95, time=0.20
Epoch 76: train_loss=0.72, train_acc=0.78, val_acc=0.95, time=0.15
Epoch 77: train_loss=0.68, train_acc=0.79, val_acc=0.84, time=0.20
Epoch 78: train_loss=0.78, train_acc=0.78, val_acc=0.95, time=0.15
Epoch 79: train_loss=0.62, train_acc=0.77, val_acc=0.95, time=0.19
Epoch 80: train_loss=0.80, train_acc=0.76, val_acc=0.89, time=0.12
Epoch 81: train_loss=0.54, train_acc=0.82, val_acc=0.89, time=0.16
Epoch 82: train_loss=0.63, train_acc=0.77, val_acc=0.95, time=0.13
Epoch 83: train_loss=0.79, train_acc=0.76, val_acc=1.00, time=0.14
Epoch 84: train_loss=0.76, train_acc=0.79, val_acc=1.00, time=0.13
Epoch 85: train_loss=0.92, train_acc=0.78, val_acc=0.95, time=0.11
Epoch 86: train_loss=0.60, train_acc=0.80, val_acc=0.89, time=0.12
Epoch 87: train_loss=0.60, train_acc=0.75, val_acc=0.89, time=0.15
Epoch 88: train_loss=0.72, train_acc=0.80, val_acc=0.89, time=0.13
Epoch 89: train_loss=0.58, train_acc=0.81, val_acc=0.95, time=0.13
Epoch 90: train_loss=0.64, train_acc=0.80, val_acc=0.95, time=0.21
Epoch 91: train_loss=0.72, train_acc=0.76, val_acc=0.89, time=0.14
Epoch 92: train_loss=0.54, train_acc=0.82, val_acc=0.89, time=0.16
Epoch 93: train_loss=0.57, train_acc=0.78, val_acc=0.89, time=0.13
Epoch 94: train_loss=0.69, train_acc=0.76, val_acc=0.89, time=0.15
Epoch 95: train_loss=0.61, train_acc=0.80, val_acc=0.89, time=0.16
Epoch 96: train_loss=0.65, train_acc=0.80, val_acc=0.89, time=0.13
Epoch 97: train_loss=0.53, train_acc=0.77, val_acc=0.89, time=0.18
Epoch 98: train_loss=0.66, train_acc=0.76, val_acc=0.89, time=0.13
Epoch 99: train_loss=0.58, train_acc=0.83, val_acc=0.89, time=0.18
Epoch 100: train_loss=0.62, train_acc=0.80, val_acc=1.00, time=0.16
Epoch 101: train_loss=0.71, train_acc=0.78, val_acc=1.00, time=0.27
Epoch 102: train_loss=0.76, train_acc=0.80, val_acc=1.00, time=0.20
Epoch 103: train_loss=0.71, train_acc=0.78, val_acc=1.00, time=0.28
Epoch 104: train_loss=0.64, train_acc=0.79, val_acc=0.95, time=0.18
Epoch 105: train_loss=0.45, train_acc=0.81, val_acc=0.89, time=0.20
Epoch 106: train_loss=0.61, train_acc=0.77, val_acc=0.89, time=0.16
Epoch 107: train_loss=0.63, train_acc=0.78, val_acc=0.89, time=0.22
Epoch 108: train_loss=0.53, train_acc=0.77, val_acc=0.89, time=0.15
Epoch 109: train_loss=0.48, train_acc=0.82, val_acc=0.89, time=0.13
Epoch 110: train_loss=0.64, train_acc=0.77, val_acc=0.89, time=0.17
Epoch 111: train_loss=0.78, train_acc=0.77, val_acc=0.95, time=0.12
Epoch 112: train_loss=0.53, train_acc=0.81, val_acc=0.95, time=0.13
Epoch 113: train_loss=0.69, train_acc=0.79, val_acc=0.95, time=0.22
Epoch 114: train_loss=0.75, train_acc=0.73, val_acc=0.89, time=0.30
Epoch 115: train_loss=0.66, train_acc=0.80, val_acc=0.89, time=0.23
Epoch 116: train_loss=0.76, train_acc=0.77, val_acc=0.89, time=0.16
Epoch 117: train_loss=0.54, train_acc=0.82, val_acc=0.89, time=0.17
Epoch 118: train_loss=0.47, train_acc=0.82, val_acc=0.89, time=0.19
Epoch 119: train_loss=0.49, train_acc=0.81, val_acc=0.89, time=0.16
Epoch 120: train_loss=0.67, train_acc=0.79, val_acc=0.89, time=0.34
Epoch 121: train_loss=0.78, train_acc=0.76, val_acc=0.89, time=0.17
Epoch 122: train_loss=0.72, train_acc=0.75, val_acc=0.89, time=0.27
Epoch 123: train_loss=0.53, train_acc=0.80, val_acc=0.95, time=0.14
