cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 2), (2, 2)}
number of topology types: 3
Epoch 0: train_loss=6.20, train_acc=0.40, val_acc=0.68, time=4.06
Epoch 1: train_loss=0.97, train_acc=0.75, val_acc=0.68, time=0.12
Epoch 2: train_loss=1.72, train_acc=0.67, val_acc=0.68, time=0.13
Epoch 3: train_loss=1.39, train_acc=0.77, val_acc=0.68, time=0.15
Epoch 4: train_loss=1.32, train_acc=0.75, val_acc=0.68, time=0.14
Epoch 5: train_loss=1.37, train_acc=0.75, val_acc=0.68, time=0.15
Epoch 6: train_loss=1.24, train_acc=0.76, val_acc=0.68, time=0.14
Epoch 7: train_loss=1.02, train_acc=0.75, val_acc=0.68, time=0.16
Epoch 8: train_loss=0.90, train_acc=0.75, val_acc=0.68, time=0.21
Epoch 9: train_loss=0.77, train_acc=0.77, val_acc=0.68, time=0.18
Epoch 10: train_loss=0.61, train_acc=0.79, val_acc=0.74, time=0.19
Epoch 11: train_loss=0.52, train_acc=0.80, val_acc=0.84, time=0.19
Epoch 12: train_loss=0.46, train_acc=0.82, val_acc=0.95, time=0.22
Epoch 13: train_loss=0.39, train_acc=0.82, val_acc=0.89, time=0.18
Epoch 14: train_loss=0.35, train_acc=0.83, val_acc=0.74, time=0.21
Epoch 15: train_loss=0.32, train_acc=0.85, val_acc=0.32, time=0.26
Epoch 16: train_loss=0.30, train_acc=0.85, val_acc=0.32, time=0.24
Epoch 17: train_loss=0.30, train_acc=0.86, val_acc=0.32, time=0.24
Epoch 18: train_loss=0.30, train_acc=0.86, val_acc=0.32, time=0.24
Epoch 19: train_loss=0.28, train_acc=0.87, val_acc=0.32, time=0.31
Epoch 20: train_loss=0.26, train_acc=0.88, val_acc=0.32, time=0.23
Epoch 21: train_loss=0.25, train_acc=0.88, val_acc=0.68, time=0.31
Epoch 22: train_loss=0.25, train_acc=0.88, val_acc=0.84, time=0.32
Epoch 23: train_loss=0.25, train_acc=0.89, val_acc=0.79, time=0.27
Epoch 24: train_loss=0.24, train_acc=0.88, val_acc=0.79, time=0.33
Epoch 25: train_loss=0.24, train_acc=0.88, val_acc=0.79, time=0.36
Epoch 26: train_loss=0.23, train_acc=0.89, val_acc=0.79, time=0.30
Epoch 27: train_loss=0.22, train_acc=0.91, val_acc=0.79, time=0.30
Epoch 28: train_loss=0.22, train_acc=0.90, val_acc=0.79, time=0.29
Epoch 29: train_loss=0.22, train_acc=0.89, val_acc=0.79, time=0.24
Epoch 30: train_loss=0.22, train_acc=0.89, val_acc=0.79, time=0.16
Epoch 31: train_loss=0.21, train_acc=0.90, val_acc=0.89, time=0.37
Epoch 32: train_loss=0.21, train_acc=0.91, val_acc=0.89, time=0.30
Epoch 33: train_loss=0.21, train_acc=0.92, val_acc=0.84, time=0.26
Epoch 34: train_loss=0.20, train_acc=0.92, val_acc=0.79, time=0.42
Epoch 35: train_loss=0.20, train_acc=0.92, val_acc=0.79, time=0.28
Epoch 36: train_loss=0.20, train_acc=0.92, val_acc=0.79, time=0.30
Epoch 37: train_loss=0.20, train_acc=0.92, val_acc=0.84, time=0.33
Epoch 38: train_loss=0.19, train_acc=0.92, val_acc=0.84, time=0.29
Epoch 39: train_loss=0.19, train_acc=0.92, val_acc=0.84, time=0.34
