cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 2), (2, 2)}
number of topology types: 3
Epoch 0: train_loss=6.62, train_acc=0.36, val_acc=0.68, time=4.15
Epoch 1: train_loss=2.00, train_acc=0.71, val_acc=0.68, time=0.35
Epoch 2: train_loss=2.01, train_acc=0.71, val_acc=0.68, time=0.27
Epoch 3: train_loss=2.14, train_acc=0.72, val_acc=0.68, time=0.25
Epoch 4: train_loss=2.19, train_acc=0.69, val_acc=0.68, time=0.29
Epoch 5: train_loss=1.90, train_acc=0.74, val_acc=0.68, time=0.22
Epoch 6: train_loss=1.64, train_acc=0.76, val_acc=0.68, time=0.23
Epoch 7: train_loss=1.80, train_acc=0.78, val_acc=0.68, time=0.24
Epoch 8: train_loss=1.83, train_acc=0.78, val_acc=0.68, time=0.18
Epoch 9: train_loss=1.99, train_acc=0.74, val_acc=0.68, time=0.15
Epoch 10: train_loss=1.66, train_acc=0.78, val_acc=0.68, time=0.25
Epoch 11: train_loss=1.69, train_acc=0.78, val_acc=0.68, time=0.17
Epoch 12: train_loss=1.35, train_acc=0.76, val_acc=0.74, time=0.21
Epoch 13: train_loss=1.33, train_acc=0.78, val_acc=0.79, time=0.16
Epoch 14: train_loss=0.96, train_acc=0.79, val_acc=0.95, time=0.12
Epoch 15: train_loss=1.29, train_acc=0.78, val_acc=0.89, time=0.24
Epoch 16: train_loss=1.21, train_acc=0.75, val_acc=0.95, time=0.21
Epoch 17: train_loss=1.10, train_acc=0.74, val_acc=0.95, time=0.14
Epoch 18: train_loss=1.18, train_acc=0.75, val_acc=0.89, time=0.17
Epoch 19: train_loss=0.82, train_acc=0.79, val_acc=0.89, time=0.21
Epoch 20: train_loss=0.71, train_acc=0.76, val_acc=0.89, time=0.08
Epoch 21: train_loss=0.82, train_acc=0.76, val_acc=0.89, time=0.17
Epoch 22: train_loss=0.68, train_acc=0.79, val_acc=0.89, time=0.22
Epoch 23: train_loss=0.77, train_acc=0.73, val_acc=0.95, time=0.17
Epoch 24: train_loss=0.81, train_acc=0.77, val_acc=0.89, time=0.21
Epoch 25: train_loss=0.88, train_acc=0.73, val_acc=0.84, time=0.18
Epoch 26: train_loss=0.75, train_acc=0.77, val_acc=0.89, time=0.16
Epoch 27: train_loss=0.86, train_acc=0.76, val_acc=0.84, time=0.13
Epoch 28: train_loss=1.00, train_acc=0.75, val_acc=0.89, time=0.19
Epoch 29: train_loss=0.73, train_acc=0.75, val_acc=0.89, time=0.21
Epoch 30: train_loss=1.00, train_acc=0.76, val_acc=0.84, time=0.18
Epoch 31: train_loss=0.68, train_acc=0.75, val_acc=0.89, time=0.23
Epoch 32: train_loss=0.88, train_acc=0.75, val_acc=0.89, time=0.16
Epoch 33: train_loss=0.80, train_acc=0.79, val_acc=0.89, time=0.22
Epoch 34: train_loss=0.49, train_acc=0.81, val_acc=0.89, time=0.22
Epoch 35: train_loss=0.85, train_acc=0.78, val_acc=0.89, time=0.22
Epoch 36: train_loss=0.69, train_acc=0.79, val_acc=0.89, time=0.21
Epoch 37: train_loss=0.86, train_acc=0.77, val_acc=0.89, time=0.22
Epoch 38: train_loss=0.53, train_acc=0.80, val_acc=0.89, time=0.22
Epoch 39: train_loss=0.59, train_acc=0.80, val_acc=0.89, time=0.23
Epoch 40: train_loss=0.53, train_acc=0.82, val_acc=0.89, time=0.31
Epoch 41: train_loss=0.82, train_acc=0.76, val_acc=0.89, time=0.25
Epoch 42: train_loss=0.67, train_acc=0.79, val_acc=0.89, time=0.24
Epoch 43: train_loss=0.54, train_acc=0.81, val_acc=0.89, time=0.27
Epoch 44: train_loss=0.56, train_acc=0.82, val_acc=0.89, time=0.26
Epoch 45: train_loss=0.64, train_acc=0.83, val_acc=0.89, time=0.28
Epoch 46: train_loss=0.84, train_acc=0.75, val_acc=0.89, time=0.28
Epoch 47: train_loss=0.75, train_acc=0.79, val_acc=0.89, time=0.25
Epoch 48: train_loss=0.58, train_acc=0.80, val_acc=0.89, time=0.31
Epoch 49: train_loss=0.77, train_acc=0.78, val_acc=0.89, time=0.26
Epoch 50: train_loss=0.60, train_acc=0.85, val_acc=0.84, time=0.28
Epoch 51: train_loss=0.55, train_acc=0.82, val_acc=0.84, time=0.26
Epoch 52: train_loss=0.55, train_acc=0.81, val_acc=0.89, time=0.26
Epoch 53: train_loss=0.59, train_acc=0.82, val_acc=0.89, time=0.30
Epoch 54: train_loss=0.63, train_acc=0.79, val_acc=0.95, time=0.30
Epoch 55: train_loss=0.73, train_acc=0.79, val_acc=0.95, time=0.30
Epoch 56: train_loss=0.59, train_acc=0.80, val_acc=0.89, time=0.29
Epoch 57: train_loss=0.62, train_acc=0.77, val_acc=0.89, time=0.28
Epoch 58: train_loss=0.57, train_acc=0.81, val_acc=0.89, time=0.27
Epoch 59: train_loss=0.58, train_acc=0.79, val_acc=0.89, time=0.25
Epoch 60: train_loss=0.88, train_acc=0.76, val_acc=0.89, time=0.27
Epoch 61: train_loss=0.58, train_acc=0.77, val_acc=0.89, time=0.22
Epoch 62: train_loss=0.68, train_acc=0.80, val_acc=0.89, time=0.25
Epoch 63: train_loss=0.75, train_acc=0.83, val_acc=0.89, time=0.26
Epoch 64: train_loss=0.83, train_acc=0.75, val_acc=0.89, time=0.24
Epoch 65: train_loss=0.60, train_acc=0.80, val_acc=0.89, time=0.29
Epoch 66: train_loss=0.59, train_acc=0.79, val_acc=0.89, time=0.22
Epoch 67: train_loss=0.52, train_acc=0.82, val_acc=0.89, time=0.32
Epoch 68: train_loss=0.68, train_acc=0.76, val_acc=0.89, time=0.30
Epoch 69: train_loss=0.70, train_acc=0.78, val_acc=0.89, time=0.29
Epoch 70: train_loss=0.49, train_acc=0.83, val_acc=0.89, time=0.19
Epoch 71: train_loss=0.54, train_acc=0.83, val_acc=0.89, time=0.23
Epoch 72: train_loss=0.42, train_acc=0.84, val_acc=0.89, time=0.24
Epoch 73: train_loss=0.76, train_acc=0.80, val_acc=0.89, time=0.24
Epoch 74: train_loss=0.52, train_acc=0.79, val_acc=0.89, time=0.25
Epoch 75: train_loss=0.73, train_acc=0.78, val_acc=0.89, time=0.22
Epoch 76: train_loss=0.63, train_acc=0.82, val_acc=0.89, time=0.20
Epoch 77: train_loss=0.69, train_acc=0.80, val_acc=0.89, time=0.25
Epoch 78: train_loss=0.66, train_acc=0.79, val_acc=0.89, time=0.25
Epoch 79: train_loss=0.56, train_acc=0.82, val_acc=0.89, time=0.25
Epoch 80: train_loss=0.57, train_acc=0.79, val_acc=0.89, time=0.25
Epoch 81: train_loss=0.58, train_acc=0.82, val_acc=0.89, time=0.23
Epoch 82: train_loss=0.52, train_acc=0.79, val_acc=0.89, time=0.27
Epoch 83: train_loss=0.67, train_acc=0.80, val_acc=0.89, time=0.26
Epoch 84: train_loss=0.53, train_acc=0.81, val_acc=0.89, time=0.22
Epoch 85: train_loss=0.65, train_acc=0.81, val_acc=0.89, time=0.23
Epoch 86: train_loss=0.58, train_acc=0.79, val_acc=0.89, time=0.13
Epoch 87: train_loss=0.56, train_acc=0.79, val_acc=0.89, time=0.22
Epoch 88: train_loss=0.63, train_acc=0.80, val_acc=0.89, time=0.21
Epoch 89: train_loss=0.58, train_acc=0.83, val_acc=0.89, time=0.25
Epoch 90: train_loss=0.65, train_acc=0.78, val_acc=0.89, time=0.19
Epoch 91: train_loss=0.49, train_acc=0.83, val_acc=0.84, time=0.35
Epoch 92: train_loss=0.62, train_acc=0.81, val_acc=0.84, time=0.30
Epoch 93: train_loss=0.64, train_acc=0.77, val_acc=0.84, time=0.28
Epoch 94: train_loss=0.47, train_acc=0.83, val_acc=0.84, time=0.36
Epoch 95: train_loss=0.58, train_acc=0.81, val_acc=0.84, time=0.34
Epoch 96: train_loss=0.41, train_acc=0.83, val_acc=0.74, time=0.27
Epoch 97: train_loss=0.76, train_acc=0.80, val_acc=0.79, time=0.28
Epoch 98: train_loss=0.50, train_acc=0.83, val_acc=0.79, time=0.30
Epoch 99: train_loss=0.65, train_acc=0.80, val_acc=0.84, time=0.30
Epoch 100: train_loss=0.74, train_acc=0.80, val_acc=0.89, time=0.26
Epoch 101: train_loss=0.46, train_acc=0.86, val_acc=0.89, time=0.29
Epoch 102: train_loss=0.36, train_acc=0.87, val_acc=0.84, time=0.33
Epoch 103: train_loss=0.38, train_acc=0.83, val_acc=0.84, time=0.28
Epoch 104: train_loss=0.54, train_acc=0.80, val_acc=0.84, time=0.35
Epoch 105: train_loss=0.65, train_acc=0.77, val_acc=0.84, time=0.35
Epoch 106: train_loss=0.53, train_acc=0.79, val_acc=0.84, time=0.34
Epoch 107: train_loss=0.57, train_acc=0.82, val_acc=0.84, time=0.23
Epoch 108: train_loss=0.62, train_acc=0.82, val_acc=0.84, time=0.21
Epoch 109: train_loss=0.66, train_acc=0.79, val_acc=0.89, time=0.24
Epoch 110: train_loss=0.39, train_acc=0.84, val_acc=0.89, time=0.20
Epoch 111: train_loss=0.48, train_acc=0.80, val_acc=0.89, time=0.22
Epoch 112: train_loss=0.61, train_acc=0.84, val_acc=0.89, time=0.20
Epoch 113: train_loss=0.63, train_acc=0.80, val_acc=0.89, time=0.18
Epoch 114: train_loss=0.66, train_acc=0.80, val_acc=0.89, time=0.15
