cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 2), (2, 2)}
number of topology types: 3
Epoch 0: train_loss=2.29, train_acc=0.70, val_acc=0.68, time=3.07
Epoch 1: train_loss=2.16, train_acc=0.78, val_acc=0.68, time=0.62
Epoch 2: train_loss=1.65, train_acc=0.70, val_acc=0.68, time=0.66
Epoch 3: train_loss=1.19, train_acc=0.75, val_acc=0.79, time=0.64
Epoch 4: train_loss=1.33, train_acc=0.77, val_acc=0.79, time=0.63
Epoch 5: train_loss=1.43, train_acc=0.77, val_acc=0.79, time=0.56
Epoch 6: train_loss=1.26, train_acc=0.74, val_acc=0.95, time=0.50
Epoch 7: train_loss=1.66, train_acc=0.75, val_acc=0.79, time=0.48
Epoch 8: train_loss=1.57, train_acc=0.71, val_acc=0.84, time=0.60
Epoch 9: train_loss=1.03, train_acc=0.78, val_acc=0.95, time=0.58
Epoch 10: train_loss=1.25, train_acc=0.72, val_acc=0.84, time=0.36
Epoch 11: train_loss=1.10, train_acc=0.79, val_acc=0.89, time=0.45
Epoch 12: train_loss=0.82, train_acc=0.78, val_acc=0.95, time=0.45
Epoch 13: train_loss=0.83, train_acc=0.78, val_acc=0.95, time=0.62
Epoch 14: train_loss=1.01, train_acc=0.76, val_acc=0.89, time=0.87
Epoch 15: train_loss=0.77, train_acc=0.85, val_acc=0.89, time=0.76
Epoch 16: train_loss=0.91, train_acc=0.74, val_acc=0.84, time=0.62
Epoch 17: train_loss=1.19, train_acc=0.77, val_acc=0.95, time=0.68
Epoch 18: train_loss=1.00, train_acc=0.78, val_acc=0.89, time=0.66
Epoch 19: train_loss=0.81, train_acc=0.85, val_acc=0.95, time=0.76
Epoch 20: train_loss=0.73, train_acc=0.85, val_acc=0.89, time=0.70
Epoch 21: train_loss=0.64, train_acc=0.82, val_acc=0.89, time=0.72
Epoch 22: train_loss=0.65, train_acc=0.82, val_acc=0.89, time=0.88
Epoch 23: train_loss=0.93, train_acc=0.77, val_acc=0.89, time=0.74
Epoch 24: train_loss=1.47, train_acc=0.78, val_acc=0.84, time=0.72
Epoch 25: train_loss=0.48, train_acc=0.80, val_acc=0.95, time=0.65
Epoch 26: train_loss=0.91, train_acc=0.80, val_acc=0.95, time=0.78
Epoch 27: train_loss=0.97, train_acc=0.82, val_acc=0.95, time=0.76
Epoch 28: train_loss=0.75, train_acc=0.81, val_acc=0.89, time=0.70
Epoch 29: train_loss=0.94, train_acc=0.76, val_acc=0.89, time=0.58
Epoch 30: train_loss=0.84, train_acc=0.79, val_acc=0.89, time=0.61
Epoch 31: train_loss=0.82, train_acc=0.80, val_acc=0.89, time=0.68
Epoch 32: train_loss=0.81, train_acc=0.79, val_acc=0.89, time=0.68
Epoch 33: train_loss=0.93, train_acc=0.79, val_acc=0.84, time=0.80
Epoch 34: train_loss=0.59, train_acc=0.82, val_acc=0.84, time=0.70
Epoch 35: train_loss=0.63, train_acc=0.82, val_acc=0.95, time=0.62
Epoch 36: train_loss=0.53, train_acc=0.83, val_acc=0.95, time=0.63
Epoch 37: train_loss=0.71, train_acc=0.81, val_acc=0.89, time=0.66
Epoch 38: train_loss=0.67, train_acc=0.79, val_acc=0.89, time=0.68
Epoch 39: train_loss=0.58, train_acc=0.81, val_acc=0.84, time=0.65
Epoch 40: train_loss=0.80, train_acc=0.81, val_acc=0.84, time=0.68
Epoch 41: train_loss=0.69, train_acc=0.80, val_acc=0.95, time=0.78
