cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=1.00, train_acc=0.57, val_acc=0.50, time=4.49
Epoch 1: train_loss=0.85, train_acc=0.56, val_acc=0.62, time=3.42
Epoch 2: train_loss=0.78, train_acc=0.61, val_acc=0.54, time=2.60
Epoch 3: train_loss=0.74, train_acc=0.62, val_acc=0.59, time=2.67
Epoch 4: train_loss=0.75, train_acc=0.62, val_acc=0.60, time=3.17
Epoch 5: train_loss=0.82, train_acc=0.60, val_acc=0.62, time=2.77
Epoch 6: train_loss=0.63, train_acc=0.68, val_acc=0.54, time=3.28
Epoch 7: train_loss=0.67, train_acc=0.66, val_acc=0.52, time=3.09
Epoch 8: train_loss=0.68, train_acc=0.65, val_acc=0.67, time=3.13
Epoch 9: train_loss=0.65, train_acc=0.67, val_acc=0.58, time=2.83
Epoch 10: train_loss=0.64, train_acc=0.67, val_acc=0.55, time=3.31
Epoch 11: train_loss=0.73, train_acc=0.66, val_acc=0.71, time=3.10
Epoch 12: train_loss=0.63, train_acc=0.70, val_acc=0.55, time=2.79
Epoch 13: train_loss=0.68, train_acc=0.65, val_acc=0.66, time=3.08
Epoch 14: train_loss=0.69, train_acc=0.66, val_acc=0.57, time=2.97
Epoch 15: train_loss=0.65, train_acc=0.68, val_acc=0.75, time=3.39
Epoch 16: train_loss=0.72, train_acc=0.67, val_acc=0.75, time=3.59
Epoch 17: train_loss=0.73, train_acc=0.65, val_acc=0.66, time=4.73
Epoch 18: train_loss=0.71, train_acc=0.68, val_acc=0.65, time=6.30
Epoch 19: train_loss=0.65, train_acc=0.68, val_acc=0.52, time=5.95
Epoch 20: train_loss=0.71, train_acc=0.68, val_acc=0.73, time=5.96
Epoch 21: train_loss=0.67, train_acc=0.69, val_acc=0.73, time=5.91
Epoch 22: train_loss=0.63, train_acc=0.69, val_acc=0.56, time=5.52
Epoch 23: train_loss=0.63, train_acc=0.69, val_acc=0.62, time=5.49
Epoch 24: train_loss=0.62, train_acc=0.70, val_acc=0.74, time=4.61
Epoch 25: train_loss=0.61, train_acc=0.70, val_acc=0.75, time=5.04
Epoch 26: train_loss=0.69, train_acc=0.68, val_acc=0.75, time=5.61
Epoch 27: train_loss=0.65, train_acc=0.69, val_acc=0.75, time=5.41
Epoch 28: train_loss=0.56, train_acc=0.73, val_acc=0.76, time=5.23
Epoch 29: train_loss=0.55, train_acc=0.73, val_acc=0.73, time=5.50
Epoch 30: train_loss=0.58, train_acc=0.72, val_acc=0.60, time=5.61
Epoch 31: train_loss=0.66, train_acc=0.69, val_acc=0.58, time=5.03
Epoch 32: train_loss=0.62, train_acc=0.71, val_acc=0.72, time=5.66
Epoch 33: train_loss=0.56, train_acc=0.73, val_acc=0.64, time=5.21
Epoch 34: train_loss=0.61, train_acc=0.71, val_acc=0.74, time=5.24
Epoch 35: train_loss=0.55, train_acc=0.74, val_acc=0.74, time=4.65
Epoch 36: train_loss=0.62, train_acc=0.71, val_acc=0.65, time=5.36
Epoch 37: train_loss=0.59, train_acc=0.72, val_acc=0.69, time=5.46
Epoch 38: train_loss=0.56, train_acc=0.73, val_acc=0.77, time=4.87
Epoch 39: train_loss=0.62, train_acc=0.71, val_acc=0.65, time=5.14
Epoch 40: train_loss=0.62, train_acc=0.71, val_acc=0.69, time=4.94
Epoch 41: train_loss=0.59, train_acc=0.72, val_acc=0.75, time=4.93
Epoch 42: train_loss=0.57, train_acc=0.73, val_acc=0.68, time=3.79
Epoch 43: train_loss=0.54, train_acc=0.74, val_acc=0.65, time=4.46
Epoch 44: train_loss=0.59, train_acc=0.72, val_acc=0.74, time=6.50
Epoch 45: train_loss=0.59, train_acc=0.71, val_acc=0.66, time=4.28
Epoch 46: train_loss=0.57, train_acc=0.73, val_acc=0.68, time=2.83
Epoch 47: train_loss=0.56, train_acc=0.73, val_acc=0.76, time=2.95
Epoch 48: train_loss=0.54, train_acc=0.75, val_acc=0.77, time=2.66
Epoch 49: train_loss=0.53, train_acc=0.75, val_acc=0.77, time=2.65
Epoch 50: train_loss=0.54, train_acc=0.75, val_acc=0.77, time=3.31
Epoch 51: train_loss=0.52, train_acc=0.76, val_acc=0.76, time=3.32
Epoch 52: train_loss=0.50, train_acc=0.76, val_acc=0.76, time=2.70
Epoch 53: train_loss=0.50, train_acc=0.76, val_acc=0.70, time=2.58
Epoch 54: train_loss=0.51, train_acc=0.74, val_acc=0.75, time=2.67
