cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=7.82, train_acc=0.52, val_acc=0.53, time=4.68
Epoch 1: train_loss=2.89, train_acc=0.53, val_acc=0.50, time=1.50
Epoch 2: train_loss=2.37, train_acc=0.55, val_acc=0.57, time=1.08
Epoch 3: train_loss=2.14, train_acc=0.54, val_acc=0.62, time=1.02
Epoch 4: train_loss=1.95, train_acc=0.54, val_acc=0.62, time=1.22
Epoch 5: train_loss=1.80, train_acc=0.55, val_acc=0.55, time=1.03
Epoch 6: train_loss=1.69, train_acc=0.54, val_acc=0.61, time=1.07
Epoch 7: train_loss=1.65, train_acc=0.55, val_acc=0.63, time=0.93
Epoch 8: train_loss=1.62, train_acc=0.54, val_acc=0.63, time=0.68
Epoch 9: train_loss=1.42, train_acc=0.54, val_acc=0.63, time=0.65
Epoch 10: train_loss=1.27, train_acc=0.55, val_acc=0.64, time=0.65
Epoch 11: train_loss=1.21, train_acc=0.56, val_acc=0.66, time=0.63
Epoch 12: train_loss=1.17, train_acc=0.55, val_acc=0.66, time=0.64
Epoch 13: train_loss=1.05, train_acc=0.58, val_acc=0.61, time=0.64
Epoch 14: train_loss=1.00, train_acc=0.58, val_acc=0.66, time=0.61
Epoch 15: train_loss=0.96, train_acc=0.57, val_acc=0.67, time=0.63
Epoch 16: train_loss=0.96, train_acc=0.57, val_acc=0.64, time=0.67
Epoch 17: train_loss=0.96, train_acc=0.57, val_acc=0.63, time=0.65
Epoch 18: train_loss=0.98, train_acc=0.56, val_acc=0.67, time=0.59
Epoch 19: train_loss=0.89, train_acc=0.58, val_acc=0.59, time=0.59
Epoch 20: train_loss=0.85, train_acc=0.58, val_acc=0.61, time=0.62
Epoch 21: train_loss=0.79, train_acc=0.61, val_acc=0.70, time=0.71
Epoch 22: train_loss=0.81, train_acc=0.59, val_acc=0.60, time=0.65
Epoch 23: train_loss=0.73, train_acc=0.61, val_acc=0.68, time=0.67
Epoch 24: train_loss=0.78, train_acc=0.59, val_acc=0.62, time=0.69
Epoch 25: train_loss=0.77, train_acc=0.60, val_acc=0.62, time=0.59
Epoch 26: train_loss=0.74, train_acc=0.60, val_acc=0.58, time=0.49
Epoch 27: train_loss=0.73, train_acc=0.60, val_acc=0.71, time=0.39
Epoch 28: train_loss=0.69, train_acc=0.63, val_acc=0.70, time=0.39
Epoch 29: train_loss=0.66, train_acc=0.64, val_acc=0.61, time=0.41
Epoch 30: train_loss=0.68, train_acc=0.63, val_acc=0.68, time=0.39
Epoch 31: train_loss=0.72, train_acc=0.61, val_acc=0.66, time=0.42
Epoch 32: train_loss=0.66, train_acc=0.64, val_acc=0.71, time=0.45
Epoch 33: train_loss=0.66, train_acc=0.64, val_acc=0.72, time=0.50
Epoch 34: train_loss=0.66, train_acc=0.64, val_acc=0.70, time=0.33
Epoch 35: train_loss=0.66, train_acc=0.64, val_acc=0.71, time=0.48
Epoch 36: train_loss=0.65, train_acc=0.65, val_acc=0.72, time=0.60
Epoch 37: train_loss=0.65, train_acc=0.64, val_acc=0.64, time=0.74
Epoch 38: train_loss=0.66, train_acc=0.65, val_acc=0.73, time=0.65
Epoch 39: train_loss=0.66, train_acc=0.64, val_acc=0.66, time=0.53
Epoch 40: train_loss=0.64, train_acc=0.64, val_acc=0.71, time=0.55
Epoch 41: train_loss=0.63, train_acc=0.66, val_acc=0.67, time=0.69
Epoch 42: train_loss=0.67, train_acc=0.63, val_acc=0.71, time=0.47
Epoch 43: train_loss=0.64, train_acc=0.66, val_acc=0.72, time=0.36
Epoch 44: train_loss=0.65, train_acc=0.65, val_acc=0.71, time=0.42
