cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 1), (1, 2), (2, 2)}
number of topology types: 4
Epoch 0: train_loss=1.23, train_acc=0.60, val_acc=0.53, time=4.33
Epoch 1: train_loss=0.77, train_acc=0.62, val_acc=0.55, time=3.75
Epoch 2: train_loss=0.96, train_acc=0.61, val_acc=0.64, time=3.40
Epoch 3: train_loss=0.74, train_acc=0.64, val_acc=0.52, time=2.49
Epoch 4: train_loss=0.71, train_acc=0.66, val_acc=0.53, time=2.43
Epoch 5: train_loss=0.76, train_acc=0.66, val_acc=0.55, time=2.78
Epoch 6: train_loss=0.66, train_acc=0.69, val_acc=0.67, time=3.30
Epoch 7: train_loss=0.65, train_acc=0.68, val_acc=0.62, time=2.44
Epoch 8: train_loss=0.72, train_acc=0.68, val_acc=0.65, time=2.43
Epoch 9: train_loss=0.71, train_acc=0.67, val_acc=0.52, time=2.45
Epoch 10: train_loss=0.65, train_acc=0.70, val_acc=0.73, time=2.43
Epoch 11: train_loss=0.62, train_acc=0.71, val_acc=0.71, time=2.45
Epoch 12: train_loss=0.69, train_acc=0.69, val_acc=0.71, time=2.43
Epoch 13: train_loss=0.62, train_acc=0.71, val_acc=0.65, time=2.44
Epoch 14: train_loss=0.74, train_acc=0.68, val_acc=0.67, time=2.45
Epoch 15: train_loss=0.58, train_acc=0.73, val_acc=0.70, time=2.50
Epoch 16: train_loss=0.59, train_acc=0.72, val_acc=0.62, time=2.92
Epoch 17: train_loss=0.68, train_acc=0.70, val_acc=0.76, time=2.42
Epoch 18: train_loss=0.55, train_acc=0.75, val_acc=0.68, time=2.44
Epoch 19: train_loss=0.61, train_acc=0.74, val_acc=0.69, time=2.46
Epoch 20: train_loss=0.56, train_acc=0.74, val_acc=0.67, time=2.44
Epoch 21: train_loss=0.65, train_acc=0.73, val_acc=0.73, time=2.46
Epoch 22: train_loss=0.56, train_acc=0.75, val_acc=0.78, time=2.55
Epoch 23: train_loss=0.62, train_acc=0.73, val_acc=0.74, time=2.44
Epoch 24: train_loss=0.57, train_acc=0.75, val_acc=0.75, time=2.43
Epoch 25: train_loss=0.54, train_acc=0.76, val_acc=0.66, time=2.44
Epoch 26: train_loss=0.59, train_acc=0.76, val_acc=0.81, time=2.43
Epoch 27: train_loss=0.55, train_acc=0.76, val_acc=0.68, time=2.56
Epoch 28: train_loss=0.54, train_acc=0.76, val_acc=0.74, time=2.43
Epoch 29: train_loss=0.57, train_acc=0.75, val_acc=0.75, time=2.45
Epoch 30: train_loss=0.52, train_acc=0.77, val_acc=0.79, time=2.42
Epoch 31: train_loss=0.49, train_acc=0.79, val_acc=0.63, time=2.52
Epoch 32: train_loss=0.57, train_acc=0.75, val_acc=0.78, time=2.42
Epoch 33: train_loss=0.55, train_acc=0.77, val_acc=0.80, time=2.42
Epoch 34: train_loss=0.51, train_acc=0.77, val_acc=0.75, time=2.42
Epoch 35: train_loss=0.52, train_acc=0.77, val_acc=0.65, time=2.43
Epoch 36: train_loss=0.46, train_acc=0.79, val_acc=0.73, time=2.43
Epoch 37: train_loss=0.48, train_acc=0.80, val_acc=0.77, time=2.51
Epoch 38: train_loss=0.47, train_acc=0.78, val_acc=0.79, time=2.44
Epoch 39: train_loss=0.51, train_acc=0.78, val_acc=0.64, time=2.44
Epoch 40: train_loss=0.52, train_acc=0.78, val_acc=0.75, time=2.45
Epoch 41: train_loss=0.53, train_acc=0.76, val_acc=0.77, time=2.43
Epoch 42: train_loss=0.46, train_acc=0.79, val_acc=0.83, time=2.44
Epoch 43: train_loss=0.47, train_acc=0.79, val_acc=0.72, time=2.43
Epoch 44: train_loss=0.54, train_acc=0.77, val_acc=0.73, time=2.59
Epoch 45: train_loss=0.58, train_acc=0.76, val_acc=0.80, time=2.43
Epoch 46: train_loss=0.43, train_acc=0.81, val_acc=0.72, time=2.43
Epoch 47: train_loss=0.51, train_acc=0.79, val_acc=0.80, time=2.44
Epoch 48: train_loss=0.45, train_acc=0.80, val_acc=0.79, time=2.45
Epoch 49: train_loss=0.47, train_acc=0.80, val_acc=0.72, time=2.43
Epoch 50: train_loss=0.40, train_acc=0.83, val_acc=0.78, time=2.43
Epoch 51: train_loss=0.40, train_acc=0.83, val_acc=0.81, time=2.42
Epoch 52: train_loss=0.39, train_acc=0.83, val_acc=0.75, time=2.46
Epoch 53: train_loss=0.41, train_acc=0.82, val_acc=0.80, time=2.43
Epoch 54: train_loss=0.41, train_acc=0.82, val_acc=0.79, time=2.45
Epoch 55: train_loss=0.44, train_acc=0.81, val_acc=0.80, time=2.46
Epoch 56: train_loss=0.40, train_acc=0.83, val_acc=0.80, time=2.95
Epoch 57: train_loss=0.42, train_acc=0.82, val_acc=0.74, time=2.47
Epoch 58: train_loss=0.39, train_acc=0.83, val_acc=0.69, time=2.43
Epoch 59: train_loss=0.40, train_acc=0.83, val_acc=0.80, time=2.42
Epoch 60: train_loss=0.44, train_acc=0.81, val_acc=0.75, time=2.42
Epoch 61: train_loss=0.40, train_acc=0.83, val_acc=0.80, time=2.44
Epoch 62: train_loss=0.40, train_acc=0.83, val_acc=0.73, time=2.44
Epoch 63: train_loss=0.41, train_acc=0.82, val_acc=0.78, time=2.43
Epoch 64: train_loss=0.40, train_acc=0.83, val_acc=0.81, time=2.42
Epoch 65: train_loss=0.38, train_acc=0.83, val_acc=0.83, time=2.42
Epoch 66: train_loss=0.38, train_acc=0.84, val_acc=0.82, time=2.43
Epoch 67: train_loss=0.37, train_acc=0.84, val_acc=0.81, time=2.43
Epoch 68: train_loss=0.41, train_acc=0.83, val_acc=0.73, time=2.43
Epoch 69: train_loss=0.37, train_acc=0.84, val_acc=0.81, time=2.42
Epoch 70: train_loss=0.38, train_acc=0.83, val_acc=0.76, time=2.44
Epoch 71: train_loss=0.38, train_acc=0.84, val_acc=0.69, time=2.44
Epoch 72: train_loss=0.37, train_acc=0.84, val_acc=0.83, time=2.42
Epoch 73: train_loss=0.38, train_acc=0.84, val_acc=0.83, time=2.43
Epoch 74: train_loss=0.38, train_acc=0.84, val_acc=0.80, time=2.44
Epoch 75: train_loss=0.41, train_acc=0.83, val_acc=0.76, time=2.43
Epoch 76: train_loss=0.39, train_acc=0.83, val_acc=0.71, time=2.45
Epoch 77: train_loss=0.37, train_acc=0.85, val_acc=0.81, time=2.43
Epoch 78: train_loss=0.36, train_acc=0.85, val_acc=0.79, time=2.43
Epoch 79: train_loss=0.36, train_acc=0.84, val_acc=0.76, time=2.44
Epoch 80: train_loss=0.39, train_acc=0.84, val_acc=0.81, time=2.43
Epoch 81: train_loss=0.36, train_acc=0.85, val_acc=0.75, time=2.44
Epoch 82: train_loss=0.36, train_acc=0.85, val_acc=0.76, time=2.44
Epoch 83: train_loss=0.36, train_acc=0.85, val_acc=0.81, time=2.43
Epoch 84: train_loss=0.35, train_acc=0.85, val_acc=0.77, time=2.44
Epoch 85: train_loss=0.37, train_acc=0.84, val_acc=0.83, time=2.43
Epoch 86: train_loss=0.35, train_acc=0.85, val_acc=0.75, time=2.42
Epoch 87: train_loss=0.36, train_acc=0.86, val_acc=0.80, time=2.44
Epoch 88: train_loss=0.35, train_acc=0.85, val_acc=0.76, time=2.55
Epoch 89: train_loss=0.34, train_acc=0.86, val_acc=0.82, time=2.43
Epoch 90: train_loss=0.38, train_acc=0.84, val_acc=0.75, time=2.43
Epoch 91: train_loss=0.37, train_acc=0.84, val_acc=0.81, time=2.42
Epoch 92: train_loss=0.36, train_acc=0.85, val_acc=0.75, time=2.42
Epoch 93: train_loss=0.39, train_acc=0.84, val_acc=0.81, time=2.44
Epoch 94: train_loss=0.36, train_acc=0.86, val_acc=0.79, time=2.43
Epoch 95: train_loss=0.34, train_acc=0.86, val_acc=0.79, time=2.43
Epoch 96: train_loss=0.33, train_acc=0.87, val_acc=0.81, time=2.42
Epoch 97: train_loss=0.34, train_acc=0.86, val_acc=0.81, time=2.57
Epoch 98: train_loss=0.33, train_acc=0.86, val_acc=0.78, time=2.42
Epoch 99: train_loss=0.43, train_acc=0.82, val_acc=0.81, time=2.41
Epoch 100: train_loss=0.31, train_acc=0.87, val_acc=0.80, time=2.44
Epoch 101: train_loss=0.30, train_acc=0.88, val_acc=0.84, time=2.43
Epoch 102: train_loss=0.30, train_acc=0.88, val_acc=0.82, time=2.42
Epoch 103: train_loss=0.31, train_acc=0.87, val_acc=0.83, time=2.42
Epoch 104: train_loss=0.30, train_acc=0.88, val_acc=0.82, time=2.44
Epoch 105: train_loss=0.30, train_acc=0.87, val_acc=0.82, time=2.35
Epoch 106: train_loss=0.30, train_acc=0.88, val_acc=0.82, time=2.43
Epoch 107: train_loss=0.30, train_acc=0.88, val_acc=0.83, time=2.43
Epoch 108: train_loss=0.31, train_acc=0.88, val_acc=0.82, time=2.44
Epoch 109: train_loss=0.30, train_acc=0.88, val_acc=0.77, time=2.43
Epoch 110: train_loss=0.31, train_acc=0.87, val_acc=0.81, time=2.42
Epoch 111: train_loss=0.29, train_acc=0.88, val_acc=0.82, time=2.43
Epoch 112: train_loss=0.29, train_acc=0.88, val_acc=0.83, time=2.43
Epoch 113: train_loss=0.29, train_acc=0.89, val_acc=0.79, time=2.43
