cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 1), (1, 2), (2, 2)}
number of topology types: 4
Epoch 0: train_loss=4.74, train_acc=0.53, val_acc=0.55, time=16.47
Epoch 1: train_loss=2.18, train_acc=0.54, val_acc=0.51, time=9.65
Epoch 2: train_loss=1.64, train_acc=0.56, val_acc=0.65, time=9.45
Epoch 3: train_loss=1.35, train_acc=0.56, val_acc=0.64, time=6.62
Epoch 4: train_loss=1.05, train_acc=0.59, val_acc=0.68, time=9.32
Epoch 5: train_loss=0.93, train_acc=0.60, val_acc=0.63, time=9.36
Epoch 6: train_loss=0.86, train_acc=0.60, val_acc=0.58, time=7.40
Epoch 7: train_loss=0.76, train_acc=0.63, val_acc=0.68, time=9.22
Epoch 8: train_loss=0.77, train_acc=0.60, val_acc=0.71, time=8.54
Epoch 9: train_loss=0.68, train_acc=0.64, val_acc=0.70, time=7.78
Epoch 10: train_loss=0.69, train_acc=0.63, val_acc=0.71, time=8.55
Epoch 11: train_loss=0.66, train_acc=0.64, val_acc=0.71, time=7.43
Epoch 12: train_loss=0.65, train_acc=0.65, val_acc=0.68, time=7.44
Epoch 13: train_loss=0.63, train_acc=0.65, val_acc=0.67, time=7.73
Epoch 14: train_loss=0.63, train_acc=0.65, val_acc=0.70, time=5.98
Epoch 15: train_loss=0.62, train_acc=0.66, val_acc=0.71, time=8.32
Epoch 16: train_loss=0.61, train_acc=0.67, val_acc=0.71, time=8.37
Epoch 17: train_loss=0.60, train_acc=0.67, val_acc=0.70, time=6.80
Epoch 18: train_loss=0.62, train_acc=0.67, val_acc=0.67, time=9.44
Epoch 19: train_loss=0.59, train_acc=0.69, val_acc=0.72, time=9.12
Epoch 20: train_loss=0.61, train_acc=0.67, val_acc=0.69, time=7.74
Epoch 21: train_loss=0.60, train_acc=0.68, val_acc=0.72, time=8.91
Epoch 22: train_loss=0.60, train_acc=0.67, val_acc=0.68, time=8.93
Epoch 23: train_loss=0.60, train_acc=0.68, val_acc=0.74, time=6.65
Epoch 24: train_loss=0.59, train_acc=0.69, val_acc=0.71, time=8.70
Epoch 25: train_loss=0.61, train_acc=0.68, val_acc=0.70, time=11.87
Epoch 26: train_loss=0.60, train_acc=0.68, val_acc=0.71, time=11.47
Epoch 27: train_loss=0.61, train_acc=0.68, val_acc=0.74, time=11.87
Epoch 28: train_loss=0.58, train_acc=0.70, val_acc=0.72, time=11.80
Epoch 29: train_loss=0.60, train_acc=0.67, val_acc=0.72, time=10.14
Epoch 30: train_loss=0.59, train_acc=0.67, val_acc=0.70, time=11.13
Epoch 31: train_loss=0.60, train_acc=0.68, val_acc=0.70, time=11.44
Epoch 32: train_loss=0.57, train_acc=0.69, val_acc=0.72, time=11.01
Epoch 33: train_loss=0.59, train_acc=0.68, val_acc=0.73, time=11.26
Epoch 34: train_loss=0.59, train_acc=0.69, val_acc=0.73, time=11.83
Epoch 35: train_loss=0.59, train_acc=0.69, val_acc=0.68, time=10.34
Epoch 36: train_loss=0.58, train_acc=0.69, val_acc=0.73, time=10.65
Epoch 37: train_loss=0.59, train_acc=0.69, val_acc=0.74, time=10.60
Epoch 38: train_loss=0.59, train_acc=0.69, val_acc=0.74, time=11.71
Epoch 39: train_loss=0.58, train_acc=0.68, val_acc=0.71, time=11.44
