cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=22.14, train_acc=0.41, val_acc=0.59, time=10.39
Epoch 1: train_loss=2.79, train_acc=0.61, val_acc=0.61, time=0.51
Epoch 2: train_loss=3.85, train_acc=0.63, val_acc=0.63, time=0.53
Epoch 3: train_loss=3.30, train_acc=0.66, val_acc=0.62, time=0.46
Epoch 4: train_loss=2.11, train_acc=0.66, val_acc=0.54, time=0.41
Epoch 5: train_loss=1.22, train_acc=0.64, val_acc=0.40, time=0.44
Epoch 6: train_loss=1.02, train_acc=0.64, val_acc=0.48, time=0.40
Epoch 7: train_loss=0.82, train_acc=0.68, val_acc=0.71, time=0.48
Epoch 8: train_loss=0.70, train_acc=0.70, val_acc=0.70, time=0.48
Epoch 9: train_loss=0.63, train_acc=0.70, val_acc=0.48, time=0.49
Epoch 10: train_loss=0.61, train_acc=0.70, val_acc=0.70, time=0.44
Epoch 11: train_loss=0.58, train_acc=0.71, val_acc=0.72, time=0.64
Epoch 12: train_loss=0.58, train_acc=0.72, val_acc=0.70, time=0.53
Epoch 13: train_loss=0.57, train_acc=0.72, val_acc=0.70, time=0.49
Epoch 14: train_loss=0.54, train_acc=0.73, val_acc=0.71, time=0.52
Epoch 15: train_loss=0.54, train_acc=0.72, val_acc=0.71, time=0.68
Epoch 16: train_loss=0.56, train_acc=0.72, val_acc=0.69, time=0.57
Epoch 17: train_loss=0.55, train_acc=0.71, val_acc=0.73, time=0.54
Epoch 18: train_loss=0.55, train_acc=0.72, val_acc=0.69, time=0.51
Epoch 19: train_loss=0.54, train_acc=0.72, val_acc=0.69, time=0.56
Epoch 20: train_loss=0.54, train_acc=0.73, val_acc=0.62, time=0.63
Epoch 21: train_loss=0.55, train_acc=0.72, val_acc=0.67, time=0.53
Epoch 22: train_loss=0.55, train_acc=0.74, val_acc=0.69, time=0.51
Epoch 23: train_loss=0.57, train_acc=0.72, val_acc=0.69, time=0.50
Epoch 24: train_loss=0.53, train_acc=0.73, val_acc=0.62, time=0.47
Epoch 25: train_loss=0.52, train_acc=0.74, val_acc=0.71, time=0.46
Epoch 26: train_loss=0.52, train_acc=0.74, val_acc=0.69, time=0.46
Epoch 27: train_loss=0.52, train_acc=0.74, val_acc=0.69, time=0.46
Epoch 28: train_loss=0.51, train_acc=0.73, val_acc=0.71, time=0.46
Epoch 29: train_loss=0.51, train_acc=0.75, val_acc=0.71, time=0.42
