cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=9.68, train_acc=0.52, val_acc=0.61, time=8.47
Epoch 1: train_loss=3.10, train_acc=0.58, val_acc=0.65, time=1.61
Epoch 2: train_loss=2.56, train_acc=0.61, val_acc=0.66, time=1.75
Epoch 3: train_loss=2.44, train_acc=0.59, val_acc=0.63, time=1.68
Epoch 4: train_loss=2.22, train_acc=0.60, val_acc=0.71, time=1.57
Epoch 5: train_loss=2.06, train_acc=0.62, val_acc=0.67, time=1.55
Epoch 6: train_loss=2.32, train_acc=0.60, val_acc=0.63, time=1.53
Epoch 7: train_loss=1.93, train_acc=0.62, val_acc=0.65, time=1.68
Epoch 8: train_loss=1.98, train_acc=0.63, val_acc=0.70, time=1.34
Epoch 9: train_loss=1.72, train_acc=0.63, val_acc=0.70, time=1.26
Epoch 10: train_loss=1.67, train_acc=0.62, val_acc=0.67, time=1.62
Epoch 11: train_loss=1.63, train_acc=0.64, val_acc=0.69, time=1.81
Epoch 12: train_loss=1.67, train_acc=0.63, val_acc=0.71, time=1.25
Epoch 13: train_loss=1.44, train_acc=0.63, val_acc=0.70, time=1.38
Epoch 14: train_loss=1.44, train_acc=0.63, val_acc=0.70, time=1.67
Epoch 15: train_loss=1.43, train_acc=0.65, val_acc=0.75, time=1.68
Epoch 16: train_loss=1.33, train_acc=0.63, val_acc=0.69, time=1.72
Epoch 17: train_loss=1.34, train_acc=0.64, val_acc=0.71, time=1.86
Epoch 18: train_loss=1.26, train_acc=0.65, val_acc=0.71, time=1.65
Epoch 19: train_loss=1.11, train_acc=0.67, val_acc=0.69, time=1.71
Epoch 20: train_loss=1.17, train_acc=0.66, val_acc=0.71, time=1.71
Epoch 21: train_loss=1.04, train_acc=0.67, val_acc=0.70, time=1.91
Epoch 22: train_loss=1.06, train_acc=0.65, val_acc=0.71, time=2.06
Epoch 23: train_loss=1.02, train_acc=0.65, val_acc=0.68, time=1.50
Epoch 24: train_loss=1.01, train_acc=0.66, val_acc=0.71, time=1.33
Epoch 25: train_loss=1.07, train_acc=0.65, val_acc=0.70, time=1.51
Epoch 26: train_loss=0.93, train_acc=0.69, val_acc=0.71, time=1.21
Epoch 27: train_loss=1.05, train_acc=0.67, val_acc=0.71, time=0.97
Epoch 28: train_loss=1.13, train_acc=0.66, val_acc=0.73, time=1.37
Epoch 29: train_loss=0.98, train_acc=0.67, val_acc=0.71, time=1.87
Epoch 30: train_loss=0.88, train_acc=0.65, val_acc=0.72, time=1.92
Epoch 31: train_loss=0.82, train_acc=0.69, val_acc=0.69, time=1.90
Epoch 32: train_loss=0.85, train_acc=0.67, val_acc=0.74, time=1.46
Epoch 33: train_loss=0.88, train_acc=0.67, val_acc=0.70, time=0.67
Epoch 34: train_loss=0.89, train_acc=0.69, val_acc=0.70, time=1.66
Epoch 35: train_loss=0.81, train_acc=0.68, val_acc=0.69, time=1.43
Epoch 36: train_loss=0.73, train_acc=0.69, val_acc=0.72, time=1.47
Epoch 37: train_loss=0.82, train_acc=0.67, val_acc=0.74, time=1.80
Epoch 38: train_loss=0.75, train_acc=0.69, val_acc=0.73, time=1.78
Epoch 39: train_loss=0.67, train_acc=0.71, val_acc=0.72, time=1.56
Epoch 40: train_loss=0.78, train_acc=0.69, val_acc=0.70, time=1.32
Epoch 41: train_loss=0.71, train_acc=0.70, val_acc=0.71, time=1.16
Epoch 42: train_loss=0.72, train_acc=0.70, val_acc=0.72, time=1.45
Epoch 43: train_loss=0.73, train_acc=0.68, val_acc=0.72, time=1.42
Epoch 44: train_loss=0.71, train_acc=0.70, val_acc=0.72, time=1.18
Epoch 45: train_loss=0.64, train_acc=0.71, val_acc=0.71, time=1.30
Epoch 46: train_loss=0.72, train_acc=0.71, val_acc=0.70, time=1.23
Epoch 47: train_loss=0.67, train_acc=0.70, val_acc=0.72, time=1.23
Epoch 48: train_loss=0.63, train_acc=0.71, val_acc=0.71, time=1.27
