cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 1), (1, 2), (2, 2)}
number of topology types: 4
Epoch 0: train_loss=2.45, train_acc=0.60, val_acc=0.64, time=9.49
Epoch 1: train_loss=1.05, train_acc=0.62, val_acc=0.59, time=2.74
Epoch 2: train_loss=0.91, train_acc=0.63, val_acc=0.64, time=3.57
Epoch 3: train_loss=0.98, train_acc=0.62, val_acc=0.65, time=3.24
Epoch 4: train_loss=0.70, train_acc=0.70, val_acc=0.71, time=2.89
Epoch 5: train_loss=0.69, train_acc=0.70, val_acc=0.70, time=3.29
Epoch 6: train_loss=0.88, train_acc=0.66, val_acc=0.56, time=2.65
Epoch 7: train_loss=0.93, train_acc=0.65, val_acc=0.56, time=2.82
Epoch 8: train_loss=0.97, train_acc=0.67, val_acc=0.71, time=2.61
Epoch 9: train_loss=0.67, train_acc=0.69, val_acc=0.59, time=2.76
Epoch 10: train_loss=0.65, train_acc=0.73, val_acc=0.70, time=2.45
Epoch 11: train_loss=0.65, train_acc=0.71, val_acc=0.71, time=2.62
Epoch 12: train_loss=0.74, train_acc=0.70, val_acc=0.71, time=2.31
Epoch 13: train_loss=0.92, train_acc=0.69, val_acc=0.63, time=2.38
Epoch 14: train_loss=0.64, train_acc=0.70, val_acc=0.66, time=2.15
Epoch 15: train_loss=0.76, train_acc=0.71, val_acc=0.56, time=2.35
Epoch 16: train_loss=0.78, train_acc=0.69, val_acc=0.62, time=2.57
Epoch 17: train_loss=0.68, train_acc=0.70, val_acc=0.72, time=2.90
Epoch 18: train_loss=0.67, train_acc=0.70, val_acc=0.73, time=2.64
Epoch 19: train_loss=0.63, train_acc=0.73, val_acc=0.62, time=2.89
Epoch 20: train_loss=0.72, train_acc=0.71, val_acc=0.71, time=3.05
Epoch 21: train_loss=0.69, train_acc=0.72, val_acc=0.68, time=2.88
Epoch 22: train_loss=0.64, train_acc=0.74, val_acc=0.78, time=2.39
Epoch 23: train_loss=0.63, train_acc=0.73, val_acc=0.68, time=2.63
Epoch 24: train_loss=0.57, train_acc=0.74, val_acc=0.74, time=2.36
Epoch 25: train_loss=0.59, train_acc=0.76, val_acc=0.70, time=2.13
Epoch 26: train_loss=0.81, train_acc=0.74, val_acc=0.74, time=1.94
Epoch 27: train_loss=0.75, train_acc=0.70, val_acc=0.76, time=1.49
Epoch 28: train_loss=0.60, train_acc=0.74, val_acc=0.71, time=1.62
Epoch 29: train_loss=0.73, train_acc=0.72, val_acc=0.71, time=1.67
