cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 1), (1, 2), (2, 2)}
number of topology types: 4
Epoch 0: train_loss=4.66, train_acc=0.57, val_acc=0.64, time=4.10
Epoch 1: train_loss=2.76, train_acc=0.60, val_acc=0.61, time=0.47
Epoch 2: train_loss=2.42, train_acc=0.64, val_acc=0.63, time=0.38
Epoch 3: train_loss=2.29, train_acc=0.61, val_acc=0.65, time=0.31
Epoch 4: train_loss=2.09, train_acc=0.58, val_acc=0.68, time=0.41
Epoch 5: train_loss=2.13, train_acc=0.61, val_acc=0.66, time=0.44
Epoch 6: train_loss=2.15, train_acc=0.60, val_acc=0.66, time=0.47
Epoch 7: train_loss=1.96, train_acc=0.62, val_acc=0.69, time=0.46
Epoch 8: train_loss=2.32, train_acc=0.60, val_acc=0.64, time=0.49
Epoch 9: train_loss=1.99, train_acc=0.62, val_acc=0.67, time=0.50
Epoch 10: train_loss=1.72, train_acc=0.63, val_acc=0.64, time=0.50
Epoch 11: train_loss=1.76, train_acc=0.61, val_acc=0.66, time=0.58
Epoch 12: train_loss=1.95, train_acc=0.62, val_acc=0.63, time=0.60
Epoch 13: train_loss=2.15, train_acc=0.63, val_acc=0.62, time=0.54
Epoch 14: train_loss=1.56, train_acc=0.61, val_acc=0.65, time=0.53
Epoch 15: train_loss=1.63, train_acc=0.63, val_acc=0.66, time=0.54
Epoch 16: train_loss=1.64, train_acc=0.60, val_acc=0.67, time=0.53
Epoch 17: train_loss=1.55, train_acc=0.63, val_acc=0.71, time=0.59
Epoch 18: train_loss=1.62, train_acc=0.65, val_acc=0.72, time=0.63
Epoch 19: train_loss=1.50, train_acc=0.60, val_acc=0.66, time=0.45
Epoch 20: train_loss=1.51, train_acc=0.64, val_acc=0.71, time=0.54
Epoch 21: train_loss=1.50, train_acc=0.64, val_acc=0.74, time=0.62
Epoch 22: train_loss=1.47, train_acc=0.63, val_acc=0.70, time=0.52
Epoch 23: train_loss=1.54, train_acc=0.65, val_acc=0.72, time=0.48
Epoch 24: train_loss=1.53, train_acc=0.63, val_acc=0.71, time=0.53
Epoch 25: train_loss=1.44, train_acc=0.64, val_acc=0.71, time=0.60
