cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=1.39, train_acc=0.53, val_acc=0.46, time=3.76
Epoch 1: train_loss=0.88, train_acc=0.56, val_acc=0.57, time=0.61
Epoch 2: train_loss=0.79, train_acc=0.59, val_acc=0.46, time=0.79
Epoch 3: train_loss=0.75, train_acc=0.56, val_acc=0.60, time=0.68
Epoch 4: train_loss=0.88, train_acc=0.58, val_acc=0.60, time=0.60
Epoch 5: train_loss=0.93, train_acc=0.59, val_acc=0.60, time=0.39
Epoch 6: train_loss=0.78, train_acc=0.59, val_acc=0.57, time=0.39
Epoch 7: train_loss=0.65, train_acc=0.64, val_acc=0.60, time=0.25
Epoch 8: train_loss=0.67, train_acc=0.65, val_acc=0.51, time=0.46
Epoch 9: train_loss=0.64, train_acc=0.65, val_acc=0.66, time=0.26
Epoch 10: train_loss=0.68, train_acc=0.65, val_acc=0.60, time=0.24
Epoch 11: train_loss=0.60, train_acc=0.66, val_acc=0.63, time=0.33
Epoch 12: train_loss=0.67, train_acc=0.61, val_acc=0.60, time=0.59
Epoch 13: train_loss=0.75, train_acc=0.59, val_acc=0.54, time=0.28
Epoch 14: train_loss=0.69, train_acc=0.64, val_acc=0.63, time=0.24
Epoch 15: train_loss=0.64, train_acc=0.66, val_acc=0.60, time=0.32
Epoch 16: train_loss=0.63, train_acc=0.65, val_acc=0.54, time=0.53
Epoch 17: train_loss=0.77, train_acc=0.60, val_acc=0.40, time=0.59
Epoch 18: train_loss=0.75, train_acc=0.61, val_acc=0.63, time=0.69
Epoch 19: train_loss=0.60, train_acc=0.69, val_acc=0.57, time=0.59
Epoch 20: train_loss=0.62, train_acc=0.70, val_acc=0.43, time=0.79
Epoch 21: train_loss=0.65, train_acc=0.66, val_acc=0.60, time=0.67
Epoch 22: train_loss=0.71, train_acc=0.63, val_acc=0.63, time=0.74
Epoch 23: train_loss=0.65, train_acc=0.66, val_acc=0.63, time=0.71
Epoch 24: train_loss=0.66, train_acc=0.67, val_acc=0.46, time=0.60
Epoch 25: train_loss=0.62, train_acc=0.69, val_acc=0.57, time=0.78
Epoch 26: train_loss=0.61, train_acc=0.68, val_acc=0.60, time=0.62
Epoch 27: train_loss=0.58, train_acc=0.69, val_acc=0.54, time=0.62
Epoch 28: train_loss=0.57, train_acc=0.66, val_acc=0.51, time=0.68
Epoch 29: train_loss=0.55, train_acc=0.73, val_acc=0.57, time=0.75
Epoch 30: train_loss=0.55, train_acc=0.71, val_acc=0.60, time=0.66
Epoch 31: train_loss=0.56, train_acc=0.71, val_acc=0.51, time=0.59
Epoch 32: train_loss=0.56, train_acc=0.69, val_acc=0.49, time=0.63
Epoch 33: train_loss=0.56, train_acc=0.71, val_acc=0.60, time=0.67
Epoch 34: train_loss=0.56, train_acc=0.74, val_acc=0.43, time=0.71
Epoch 35: train_loss=0.61, train_acc=0.64, val_acc=0.63, time=0.53
Epoch 36: train_loss=0.56, train_acc=0.71, val_acc=0.57, time=0.58
Epoch 37: train_loss=0.55, train_acc=0.71, val_acc=0.63, time=0.48
Epoch 38: train_loss=0.56, train_acc=0.70, val_acc=0.57, time=0.57
Epoch 39: train_loss=0.56, train_acc=0.69, val_acc=0.49, time=0.46
Epoch 40: train_loss=0.54, train_acc=0.73, val_acc=0.66, time=0.51
Epoch 41: train_loss=0.56, train_acc=0.72, val_acc=0.54, time=0.56
Epoch 42: train_loss=0.54, train_acc=0.73, val_acc=0.60, time=0.67
Epoch 43: train_loss=0.52, train_acc=0.74, val_acc=0.60, time=0.60
Epoch 44: train_loss=0.53, train_acc=0.73, val_acc=0.49, time=0.69
Epoch 45: train_loss=0.52, train_acc=0.73, val_acc=0.60, time=0.57
Epoch 46: train_loss=0.51, train_acc=0.73, val_acc=0.57, time=0.80
Epoch 47: train_loss=0.52, train_acc=0.72, val_acc=0.60, time=0.59
Epoch 48: train_loss=0.52, train_acc=0.74, val_acc=0.60, time=0.67
Epoch 49: train_loss=0.51, train_acc=0.77, val_acc=0.57, time=0.57
Epoch 50: train_loss=0.52, train_acc=0.72, val_acc=0.60, time=0.55
Epoch 51: train_loss=0.52, train_acc=0.73, val_acc=0.51, time=0.45
Epoch 52: train_loss=0.50, train_acc=0.74, val_acc=0.60, time=0.50
Epoch 53: train_loss=0.51, train_acc=0.73, val_acc=0.51, time=0.65
Epoch 54: train_loss=0.51, train_acc=0.74, val_acc=0.54, time=0.53
Epoch 55: train_loss=0.53, train_acc=0.73, val_acc=0.54, time=0.59
Epoch 56: train_loss=0.54, train_acc=0.74, val_acc=0.66, time=0.49
Epoch 57: train_loss=0.53, train_acc=0.72, val_acc=0.63, time=0.61
Epoch 58: train_loss=0.49, train_acc=0.75, val_acc=0.51, time=0.60
Epoch 59: train_loss=0.49, train_acc=0.77, val_acc=0.63, time=0.53
Epoch 60: train_loss=0.49, train_acc=0.76, val_acc=0.60, time=0.46
Epoch 61: train_loss=0.49, train_acc=0.77, val_acc=0.57, time=0.55
Epoch 62: train_loss=0.49, train_acc=0.75, val_acc=0.57, time=0.54
Epoch 63: train_loss=0.49, train_acc=0.76, val_acc=0.57, time=0.59
Epoch 64: train_loss=0.47, train_acc=0.76, val_acc=0.57, time=0.64
Epoch 65: train_loss=0.49, train_acc=0.77, val_acc=0.57, time=0.67
Epoch 66: train_loss=0.49, train_acc=0.75, val_acc=0.57, time=0.61
Epoch 67: train_loss=0.47, train_acc=0.77, val_acc=0.51, time=0.68
Epoch 68: train_loss=0.48, train_acc=0.78, val_acc=0.57, time=0.62
Epoch 69: train_loss=0.48, train_acc=0.79, val_acc=0.51, time=0.58
Epoch 70: train_loss=0.47, train_acc=0.76, val_acc=0.57, time=0.58
Epoch 71: train_loss=0.47, train_acc=0.78, val_acc=0.57, time=0.57
Epoch 72: train_loss=0.47, train_acc=0.76, val_acc=0.54, time=0.53
Epoch 73: train_loss=0.48, train_acc=0.74, val_acc=0.46, time=0.47
Epoch 74: train_loss=0.50, train_acc=0.75, val_acc=0.51, time=0.46
Epoch 75: train_loss=0.48, train_acc=0.75, val_acc=0.63, time=0.54
Epoch 76: train_loss=0.47, train_acc=0.78, val_acc=0.60, time=0.61
Epoch 77: train_loss=0.48, train_acc=0.77, val_acc=0.54, time=0.55
Epoch 78: train_loss=0.48, train_acc=0.76, val_acc=0.54, time=0.68
Epoch 79: train_loss=0.49, train_acc=0.75, val_acc=0.57, time=0.67
Epoch 80: train_loss=0.47, train_acc=0.76, val_acc=0.57, time=0.58
Epoch 81: train_loss=0.48, train_acc=0.75, val_acc=0.60, time=0.37
Epoch 82: train_loss=0.48, train_acc=0.78, val_acc=0.54, time=0.43
Epoch 83: train_loss=0.48, train_acc=0.76, val_acc=0.57, time=0.41
Epoch 84: train_loss=0.48, train_acc=0.77, val_acc=0.54, time=0.42
Epoch 85: train_loss=0.48, train_acc=0.76, val_acc=0.57, time=0.54
Epoch 86: train_loss=0.47, train_acc=0.79, val_acc=0.60, time=0.54
Epoch 87: train_loss=0.47, train_acc=0.77, val_acc=0.51, time=0.62
Epoch 88: train_loss=0.47, train_acc=0.76, val_acc=0.63, time=0.57
Epoch 89: train_loss=0.46, train_acc=0.79, val_acc=0.57, time=0.66
Epoch 90: train_loss=0.46, train_acc=0.77, val_acc=0.54, time=0.48
Epoch 91: train_loss=0.46, train_acc=0.76, val_acc=0.57, time=0.75
Epoch 92: train_loss=0.45, train_acc=0.78, val_acc=0.60, time=0.61
Epoch 93: train_loss=0.47, train_acc=0.79, val_acc=0.60, time=0.37
Epoch 94: train_loss=0.46, train_acc=0.76, val_acc=0.51, time=0.52
Epoch 95: train_loss=0.45, train_acc=0.79, val_acc=0.54, time=0.66
Epoch 96: train_loss=0.46, train_acc=0.77, val_acc=0.40, time=0.49
Epoch 97: train_loss=0.46, train_acc=0.79, val_acc=0.60, time=0.64
Epoch 98: train_loss=0.46, train_acc=0.77, val_acc=0.54, time=0.45
Epoch 99: train_loss=0.44, train_acc=0.81, val_acc=0.63, time=0.64
Epoch 100: train_loss=0.45, train_acc=0.77, val_acc=0.57, time=0.55
Epoch 101: train_loss=0.44, train_acc=0.79, val_acc=0.60, time=0.65
Epoch 102: train_loss=0.44, train_acc=0.81, val_acc=0.54, time=0.58
Epoch 103: train_loss=0.43, train_acc=0.79, val_acc=0.57, time=0.67
Epoch 104: train_loss=0.43, train_acc=0.81, val_acc=0.57, time=0.71
Epoch 105: train_loss=0.43, train_acc=0.80, val_acc=0.57, time=0.67
Epoch 106: train_loss=0.43, train_acc=0.79, val_acc=0.57, time=0.61
