cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=2.82, train_acc=0.49, val_acc=0.57, time=7.89
Epoch 1: train_loss=2.55, train_acc=0.50, val_acc=0.54, time=0.23
Epoch 2: train_loss=2.02, train_acc=0.52, val_acc=0.43, time=0.21
Epoch 3: train_loss=1.96, train_acc=0.49, val_acc=0.60, time=0.21
Epoch 4: train_loss=1.84, train_acc=0.53, val_acc=0.57, time=0.26
Epoch 5: train_loss=2.04, train_acc=0.50, val_acc=0.57, time=0.24
Epoch 6: train_loss=1.74, train_acc=0.53, val_acc=0.57, time=0.14
Epoch 7: train_loss=1.93, train_acc=0.50, val_acc=0.57, time=0.21
Epoch 8: train_loss=2.08, train_acc=0.50, val_acc=0.57, time=0.23
Epoch 9: train_loss=1.81, train_acc=0.52, val_acc=0.49, time=0.23
Epoch 10: train_loss=1.74, train_acc=0.50, val_acc=0.46, time=0.27
Epoch 11: train_loss=1.51, train_acc=0.56, val_acc=0.49, time=0.25
Epoch 12: train_loss=1.69, train_acc=0.51, val_acc=0.46, time=0.28
Epoch 13: train_loss=1.72, train_acc=0.57, val_acc=0.60, time=0.24
Epoch 14: train_loss=1.56, train_acc=0.58, val_acc=0.49, time=0.31
Epoch 15: train_loss=1.86, train_acc=0.48, val_acc=0.43, time=0.28
Epoch 16: train_loss=1.57, train_acc=0.51, val_acc=0.46, time=0.29
Epoch 17: train_loss=1.37, train_acc=0.52, val_acc=0.49, time=0.30
Epoch 18: train_loss=1.38, train_acc=0.57, val_acc=0.60, time=0.35
Epoch 19: train_loss=1.50, train_acc=0.54, val_acc=0.51, time=0.31
Epoch 20: train_loss=1.31, train_acc=0.56, val_acc=0.46, time=0.35
Epoch 21: train_loss=1.57, train_acc=0.51, val_acc=0.46, time=0.34
Epoch 22: train_loss=1.35, train_acc=0.50, val_acc=0.51, time=0.25
Epoch 23: train_loss=1.31, train_acc=0.53, val_acc=0.57, time=0.33
Epoch 24: train_loss=1.26, train_acc=0.55, val_acc=0.63, time=0.33
Epoch 25: train_loss=1.52, train_acc=0.52, val_acc=0.57, time=0.31
Epoch 26: train_loss=1.48, train_acc=0.50, val_acc=0.43, time=0.26
Epoch 27: train_loss=1.18, train_acc=0.55, val_acc=0.63, time=0.32
Epoch 28: train_loss=1.47, train_acc=0.51, val_acc=0.63, time=0.29
Epoch 29: train_loss=1.37, train_acc=0.52, val_acc=0.63, time=0.25
Epoch 30: train_loss=1.40, train_acc=0.51, val_acc=0.63, time=0.32
Epoch 31: train_loss=1.30, train_acc=0.52, val_acc=0.46, time=0.13
Epoch 32: train_loss=1.19, train_acc=0.53, val_acc=0.43, time=0.10
Epoch 33: train_loss=1.14, train_acc=0.56, val_acc=0.63, time=0.11
Epoch 34: train_loss=1.27, train_acc=0.52, val_acc=0.63, time=0.08
Epoch 35: train_loss=1.11, train_acc=0.55, val_acc=0.54, time=0.12
Epoch 36: train_loss=1.19, train_acc=0.54, val_acc=0.46, time=0.08
Epoch 37: train_loss=1.03, train_acc=0.57, val_acc=0.57, time=0.11
Epoch 38: train_loss=1.08, train_acc=0.57, val_acc=0.63, time=0.09
Epoch 39: train_loss=1.25, train_acc=0.51, val_acc=0.63, time=0.21
Epoch 40: train_loss=1.05, train_acc=0.54, val_acc=0.51, time=0.14
Epoch 41: train_loss=0.89, train_acc=0.59, val_acc=0.51, time=0.11
Epoch 42: train_loss=1.01, train_acc=0.54, val_acc=0.66, time=0.14
Epoch 43: train_loss=1.00, train_acc=0.59, val_acc=0.60, time=0.13
Epoch 44: train_loss=1.09, train_acc=0.51, val_acc=0.51, time=0.10
Epoch 45: train_loss=1.05, train_acc=0.55, val_acc=0.54, time=0.19
Epoch 46: train_loss=0.99, train_acc=0.56, val_acc=0.60, time=0.21
Epoch 47: train_loss=0.91, train_acc=0.54, val_acc=0.63, time=0.22
Epoch 48: train_loss=1.00, train_acc=0.56, val_acc=0.51, time=0.17
Epoch 49: train_loss=0.88, train_acc=0.57, val_acc=0.49, time=0.19
Epoch 50: train_loss=1.01, train_acc=0.52, val_acc=0.51, time=0.16
Epoch 51: train_loss=0.91, train_acc=0.56, val_acc=0.63, time=0.15
Epoch 52: train_loss=0.97, train_acc=0.53, val_acc=0.63, time=0.15
Epoch 53: train_loss=0.98, train_acc=0.54, val_acc=0.63, time=0.17
Epoch 54: train_loss=0.92, train_acc=0.55, val_acc=0.63, time=0.10
Epoch 55: train_loss=0.90, train_acc=0.53, val_acc=0.51, time=0.20
Epoch 56: train_loss=1.03, train_acc=0.55, val_acc=0.51, time=0.13
Epoch 57: train_loss=1.00, train_acc=0.52, val_acc=0.51, time=0.22
Epoch 58: train_loss=0.97, train_acc=0.50, val_acc=0.51, time=0.16
Epoch 59: train_loss=0.96, train_acc=0.54, val_acc=0.60, time=0.11
Epoch 60: train_loss=0.93, train_acc=0.52, val_acc=0.60, time=0.16
Epoch 61: train_loss=0.97, train_acc=0.52, val_acc=0.60, time=0.18
Epoch 62: train_loss=0.91, train_acc=0.52, val_acc=0.49, time=0.15
Epoch 63: train_loss=0.93, train_acc=0.57, val_acc=0.51, time=0.16
Epoch 64: train_loss=0.84, train_acc=0.52, val_acc=0.54, time=0.18
Epoch 65: train_loss=0.92, train_acc=0.54, val_acc=0.57, time=0.18
Epoch 66: train_loss=0.87, train_acc=0.55, val_acc=0.60, time=0.16
Epoch 67: train_loss=0.97, train_acc=0.57, val_acc=0.60, time=0.19
Epoch 68: train_loss=0.85, train_acc=0.61, val_acc=0.60, time=0.25
Epoch 69: train_loss=0.84, train_acc=0.57, val_acc=0.63, time=0.19
Epoch 70: train_loss=0.92, train_acc=0.51, val_acc=0.54, time=0.23
Epoch 71: train_loss=0.96, train_acc=0.52, val_acc=0.60, time=0.15
Epoch 72: train_loss=0.85, train_acc=0.54, val_acc=0.57, time=0.21
Epoch 73: train_loss=0.83, train_acc=0.59, val_acc=0.60, time=0.23
Epoch 74: train_loss=0.81, train_acc=0.58, val_acc=0.60, time=0.26
Epoch 75: train_loss=0.93, train_acc=0.52, val_acc=0.57, time=0.22
Epoch 76: train_loss=0.89, train_acc=0.57, val_acc=0.60, time=0.22
Epoch 77: train_loss=0.83, train_acc=0.56, val_acc=0.54, time=0.25
Epoch 78: train_loss=0.87, train_acc=0.57, val_acc=0.60, time=0.24
Epoch 79: train_loss=0.83, train_acc=0.54, val_acc=0.60, time=0.20
