cuda available with GPU: NVIDIA RTX A6000
topology types: {(0, 1), (1, 1), (1, 2), (2, 2)}
number of topology types: 4
Epoch 0: train_loss=2.81, train_acc=0.51, val_acc=0.66, time=7.90
Epoch 1: train_loss=3.02, train_acc=0.48, val_acc=0.63, time=0.38
Epoch 2: train_loss=2.52, train_acc=0.52, val_acc=0.54, time=0.41
Epoch 3: train_loss=2.31, train_acc=0.50, val_acc=0.43, time=0.30
Epoch 4: train_loss=1.93, train_acc=0.52, val_acc=0.37, time=0.30
Epoch 5: train_loss=2.40, train_acc=0.47, val_acc=0.43, time=0.28
Epoch 6: train_loss=2.28, train_acc=0.52, val_acc=0.43, time=0.36
Epoch 7: train_loss=2.30, train_acc=0.46, val_acc=0.57, time=0.38
Epoch 8: train_loss=2.53, train_acc=0.50, val_acc=0.69, time=0.36
Epoch 9: train_loss=2.17, train_acc=0.60, val_acc=0.69, time=0.41
Epoch 10: train_loss=2.12, train_acc=0.50, val_acc=0.71, time=0.52
Epoch 11: train_loss=1.85, train_acc=0.55, val_acc=0.46, time=0.46
Epoch 12: train_loss=2.11, train_acc=0.49, val_acc=0.46, time=0.42
Epoch 13: train_loss=1.73, train_acc=0.54, val_acc=0.49, time=0.36
Epoch 14: train_loss=1.82, train_acc=0.52, val_acc=0.46, time=0.61
Epoch 15: train_loss=1.66, train_acc=0.50, val_acc=0.60, time=0.57
Epoch 16: train_loss=1.73, train_acc=0.54, val_acc=0.60, time=0.43
Epoch 17: train_loss=1.52, train_acc=0.61, val_acc=0.54, time=0.46
Epoch 18: train_loss=1.85, train_acc=0.55, val_acc=0.46, time=0.43
Epoch 19: train_loss=1.73, train_acc=0.54, val_acc=0.43, time=0.47
Epoch 20: train_loss=1.83, train_acc=0.51, val_acc=0.37, time=0.43
Epoch 21: train_loss=1.83, train_acc=0.53, val_acc=0.37, time=0.53
Epoch 22: train_loss=1.87, train_acc=0.50, val_acc=0.57, time=0.40
Epoch 23: train_loss=1.47, train_acc=0.57, val_acc=0.54, time=0.51
Epoch 24: train_loss=1.75, train_acc=0.49, val_acc=0.60, time=0.43
Epoch 25: train_loss=1.64, train_acc=0.62, val_acc=0.60, time=0.40
Epoch 26: train_loss=1.84, train_acc=0.53, val_acc=0.51, time=0.41
Epoch 27: train_loss=1.52, train_acc=0.57, val_acc=0.43, time=0.39
Epoch 28: train_loss=1.40, train_acc=0.58, val_acc=0.43, time=0.14
Epoch 29: train_loss=1.59, train_acc=0.51, val_acc=0.46, time=0.19
Epoch 30: train_loss=1.45, train_acc=0.57, val_acc=0.49, time=0.37
Epoch 31: train_loss=1.47, train_acc=0.50, val_acc=0.54, time=0.28
Epoch 32: train_loss=1.48, train_acc=0.57, val_acc=0.54, time=0.25
Epoch 33: train_loss=1.52, train_acc=0.55, val_acc=0.60, time=0.62
Epoch 34: train_loss=1.70, train_acc=0.51, val_acc=0.40, time=0.40
Epoch 35: train_loss=1.71, train_acc=0.52, val_acc=0.49, time=0.39
Epoch 36: train_loss=1.48, train_acc=0.53, val_acc=0.60, time=0.34
Epoch 37: train_loss=1.69, train_acc=0.53, val_acc=0.63, time=0.45
Epoch 38: train_loss=1.32, train_acc=0.57, val_acc=0.57, time=0.46
Epoch 39: train_loss=1.52, train_acc=0.57, val_acc=0.51, time=0.44
Epoch 40: train_loss=1.44, train_acc=0.59, val_acc=0.46, time=0.38
Epoch 41: train_loss=1.39, train_acc=0.55, val_acc=0.49, time=0.35
Epoch 42: train_loss=1.20, train_acc=0.57, val_acc=0.54, time=0.41
Epoch 43: train_loss=1.64, train_acc=0.53, val_acc=0.60, time=0.44
Epoch 44: train_loss=1.28, train_acc=0.49, val_acc=0.60, time=0.35
Epoch 45: train_loss=1.35, train_acc=0.58, val_acc=0.54, time=0.42
Epoch 46: train_loss=1.28, train_acc=0.62, val_acc=0.46, time=0.30
Epoch 47: train_loss=1.48, train_acc=0.54, val_acc=0.54, time=0.41
Epoch 48: train_loss=1.32, train_acc=0.55, val_acc=0.54, time=0.43
Epoch 49: train_loss=1.45, train_acc=0.55, val_acc=0.46, time=0.39
Epoch 50: train_loss=1.37, train_acc=0.54, val_acc=0.43, time=0.36
Epoch 51: train_loss=1.30, train_acc=0.53, val_acc=0.46, time=0.36
Epoch 52: train_loss=1.37, train_acc=0.58, val_acc=0.46, time=0.42
Epoch 53: train_loss=1.28, train_acc=0.53, val_acc=0.46, time=0.38
Epoch 54: train_loss=1.06, train_acc=0.56, val_acc=0.57, time=0.39
Epoch 55: train_loss=1.13, train_acc=0.55, val_acc=0.60, time=0.34
Epoch 56: train_loss=1.46, train_acc=0.55, val_acc=0.60, time=0.37
Epoch 57: train_loss=1.39, train_acc=0.56, val_acc=0.60, time=0.33
Epoch 58: train_loss=1.08, train_acc=0.59, val_acc=0.49, time=0.46
Epoch 59: train_loss=1.12, train_acc=0.52, val_acc=0.46, time=0.40
Epoch 60: train_loss=1.32, train_acc=0.52, val_acc=0.46, time=0.42
Epoch 61: train_loss=1.34, train_acc=0.52, val_acc=0.51, time=0.36
Epoch 62: train_loss=1.18, train_acc=0.52, val_acc=0.60, time=0.37
Epoch 63: train_loss=1.20, train_acc=0.56, val_acc=0.57, time=0.36
Epoch 64: train_loss=1.18, train_acc=0.57, val_acc=0.54, time=0.37
Epoch 65: train_loss=1.16, train_acc=0.56, val_acc=0.46, time=0.35
Epoch 66: train_loss=1.10, train_acc=0.58, val_acc=0.49, time=0.41
Epoch 67: train_loss=1.25, train_acc=0.53, val_acc=0.43, time=0.40
Epoch 68: train_loss=1.32, train_acc=0.52, val_acc=0.46, time=0.35
Epoch 69: train_loss=1.18, train_acc=0.55, val_acc=0.49, time=0.33
Epoch 70: train_loss=1.14, train_acc=0.54, val_acc=0.51, time=0.38
Epoch 71: train_loss=1.13, train_acc=0.59, val_acc=0.51, time=0.46
Epoch 72: train_loss=1.09, train_acc=0.59, val_acc=0.46, time=0.30
Epoch 73: train_loss=1.13, train_acc=0.58, val_acc=0.46, time=0.46
Epoch 74: train_loss=1.24, train_acc=0.57, val_acc=0.46, time=0.29
Epoch 75: train_loss=1.10, train_acc=0.58, val_acc=0.54, time=0.26
Epoch 76: train_loss=1.07, train_acc=0.55, val_acc=0.54, time=0.16
Epoch 77: train_loss=1.19, train_acc=0.54, val_acc=0.54, time=0.25
Epoch 78: train_loss=1.31, train_acc=0.54, val_acc=0.46, time=0.28
Epoch 79: train_loss=1.16, train_acc=0.52, val_acc=0.46, time=0.18
Epoch 80: train_loss=1.14, train_acc=0.56, val_acc=0.46, time=0.31
Epoch 81: train_loss=1.00, train_acc=0.61, val_acc=0.51, time=0.21
Epoch 82: train_loss=1.09, train_acc=0.56, val_acc=0.54, time=0.19
Epoch 83: train_loss=1.06, train_acc=0.58, val_acc=0.54, time=0.12
Epoch 84: train_loss=1.02, train_acc=0.58, val_acc=0.54, time=0.10
Epoch 85: train_loss=1.19, train_acc=0.55, val_acc=0.46, time=0.11
Epoch 86: train_loss=1.00, train_acc=0.60, val_acc=0.46, time=0.18
Epoch 87: train_loss=1.09, train_acc=0.58, val_acc=0.49, time=0.23
Epoch 88: train_loss=1.04, train_acc=0.54, val_acc=0.49, time=0.28
Epoch 89: train_loss=0.95, train_acc=0.57, val_acc=0.57, time=0.29
Epoch 90: train_loss=1.07, train_acc=0.58, val_acc=0.54, time=0.21
Epoch 91: train_loss=1.20, train_acc=0.53, val_acc=0.54, time=0.34
Epoch 92: train_loss=1.12, train_acc=0.55, val_acc=0.60, time=0.21
Epoch 93: train_loss=0.90, train_acc=0.57, val_acc=0.51, time=0.31
Epoch 94: train_loss=1.19, train_acc=0.54, val_acc=0.46, time=0.33
Epoch 95: train_loss=0.82, train_acc=0.63, val_acc=0.46, time=0.27
Epoch 96: train_loss=1.15, train_acc=0.59, val_acc=0.54, time=0.42
Epoch 97: train_loss=1.02, train_acc=0.57, val_acc=0.51, time=0.30
